wandb_id,wandb_name,family,job_id,wandb_state,cause,final_step,elapsed_hours,timelimit_hours,steps_per_hour,eta_total_hours,remaining_hours,maxrss_gb,req_mem,encoder_type,obs_shape,buffer_capacity,seq_len,batch_size,train_ratio,total_steps,logdir,next_fix
70kydwei,wp-cp-mlp-4887404,WP/CP 37 MLP,4887404,crashed,SLURM time limit,1363293,48.00416666666667,48.0,28399.47226803229,70.42384383498876,22.419677168322096,12.226542472839355,64G,vggt,[4116],1000000,64,16,512,2000000,output/r2dreamer-curriculum-l1-vggt-wp-cp-mlp/run-4887404,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
au08loz8,wp-cp-mlp-64-4889382,WP/CP 64 MLP,4889382,crashed,SLURM time limit,1205507,48.00333333333333,48.0,25112.985209360464,79.64007398270326,31.63674064936993,17.278345108032227,128G,vggt_wp_cp_64,[12297],1000000,64,16,512,2000000,output/r2dreamer-curriculum-l1-vggt-wp-cp-64/run-4889382,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
rx29922r,l1-wpcp37-cap500k-4931246,WP/CP 37 cap500k,4931246,crashed,SLURM time limit,1630528,48.00472222222222,48.0,33965.99177164284,58.882426088018384,10.877703865796164,11.404579162597656,64G,vggt,[4116],500000,64,16,512,2000000,output/r2dreamer-l1-replay-capacity/wpcp37-cap500k/run-4931246,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
i0ex1vws,l1-wpcp64-cap500k-4931248,WP/CP 64 cap500k,4931248,crashed,SLURM time limit,1466797,48.00194444444445,48.0,30557.03299056172,65.451380722001,17.44943627755655,17.760212898254395,128G,vggt_wp_cp_64,[12297],500000,64,16,512,2000000,output/r2dreamer-l1-replay-capacity/wpcp64-cap500k/run-4931248,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
v4y0yomr,hybrid-cnn-vggt-4889212,Hybrid CNN+VGGT,4889212,crashed,SLURM time limit,1133000,48.004444444444445,48.0,23601.98129802796,84.73864862214377,36.734204177699326,12.49981689453125,64G,hybrid,[16404],100000,64,16,512,2000000,output/runs/r2dreamer-curriculum-l1-hybrid/run-4889212,Rerun no-video/no-val or lower eval/video cadence; use checkpoint resume and >=72-96h if policy allows.
boi0cntv,hybrid-cnn-vggt-4960997,Hybrid CNN+VGGT rerun,4960997,crashed,SLURM time limit,1048325,48.000277777777775,48.0,21839.97777790638,91.57518475239601,43.57490697461824,11.41641616821289,64G,hybrid,[16404],100000,64,16,512,2000000,output/runs/r2dreamer-curriculum-l1-hybrid/run-4960997,Rerun no-video/no-val or lower eval/video cadence; use checkpoint resume and >=72-96h if policy allows.
lte3r5o4,hybrid-norm-fixed-4943465,Hybrid norm fixed cancelled,4943465,crashed,intentional stop / external cancellation,1034250,45.84277777777778,48.0,22560.80565216864,88.64931646657536,42.80653868879758,12.712968826293945,64G,hybrid_norm_fixed,[16404],100000,64,16,512,2000000,output/runs/r2dreamer-curriculum-l1-hybrid-norm-fixed/run-4943465,Rerun no-video/no-val or lower eval/video cadence; use checkpoint resume and >=72-96h if policy allows.
b7zd8n8e,hybrid-norm-fixed-4960951,Hybrid norm fixed rerun,4960951,crashed,SLURM time limit,1246024,48.00694444444444,48.0,25955.078258353828,77.0562115086779,29.04926706423347,11.85489273071289,64G,hybrid_norm_fixed,[16404],100000,64,16,512,2000000,output/runs/r2dreamer-curriculum-l1-hybrid-norm-fixed/run-4960951,Rerun no-video/no-val or lower eval/video cadence; use checkpoint resume and >=72-96h if policy allows.
po3rx7q9,hybrid-agg-pooled-4892977,Hybrid aggregator pooled,4892977,crashed,SLURM time limit,1172000,48.00694444444444,48.0,24413.134673802982,81.92311338642396,33.91616894197952,11.985107421875,64G,hybrid_agg_pooled,[15360],100000,64,16,512,2000000,output/runs/r2dreamer-curriculum-l1-hybrid-agg-pooled/run-4892977,Rerun no-video/no-val or lower eval/video cadence; use checkpoint resume and >=72-96h if policy allows.
3ckqi5mc,hybrid-agg-raw-4892978,Hybrid aggregator raw,4892978,crashed,SLURM time limit,290250,48.004444444444445,48.0,6046.315156004073,330.77997894535366,282.7755345009092,45.01549053192139,128G,hybrid_agg_raw,[1415168],5000,16,1,64,2000000,output/runs/r2dreamer-curriculum-l1-hybrid-agg-raw/run-4892978,"Do not rerun raw aggregator to 2M first; reduce raw dimensionality/pool/project before replay, or reserve multi-day budget."
5959vo44,l1-agg-mlp-cap500k-4931252,Aggregator MLP cap500k,4931252,crashed,SLURM time limit,1599462,42.00055555555556,42.0,38081.92484226399,52.51835374088982,10.517798185334264,11.177629470825195,64G,vggt_aggregator_mlp,[3072],500000,32,4,128,2000000,output/r2dreamer-l1-replay-capacity/agg-mlp-cap500k/run-4931252,Rerun with resume/checkpoint on a longer walltime budget.
50p5zp3u,agg-raw-mlp-4892976,Aggregator raw MLP,4892976,crashed,SLURM time limit,318103,48.005,48.0,6626.455577544006,301.82047953021504,253.81547953021507,53.19908142089844,128G,vggt_agg_raw_mlp,[1402880],5000,16,1,64,2000000,output/runs/r2dreamer-curriculum-l1-vggt-agg-raw-mlp/run-4892976,"Do not rerun raw aggregator to 2M first; reduce raw dimensionality/pool/project before replay, or reserve multi-day budget."
ne3ffhpm,l1-agg-avg-e1024-cap500k-4964096,Aggregator avg e1024,4964096,crashed,SLURM time limit,1520257,48.0075,48.0,31667.07285320002,63.15708462450757,15.149584624507566,9.124906539916992,64G,vggt_agg_avg_mlp,[1024],500000,32,4,128,2000000,output/r2dreamer-3d-67/agg-avg-e1024-cap500k/run-4964096,Rerun the best embedding size first with no-video/no-val; 48h is close but still short for 2M.
ow3bi7rz,l1-agg-avg-e512-cap500k-4964095,Aggregator avg e512,4964095,crashed,SLURM time limit,1575939,48.0075,48.0,32826.93329167317,60.92558151045187,12.918081510451865,7.348149299621582,64G,vggt_agg_avg_mlp,[1024],500000,32,4,128,2000000,output/r2dreamer-3d-67/agg-avg-e512-cap500k/run-4964095,Rerun the best embedding size first with no-video/no-val; 48h is close but still short for 2M.
doe1hu8d,l1-agg-avg-e256-cap500k-4964093,Aggregator avg e256,4964093,crashed,SLURM time limit,1617000,48.0075,48.0,33682.237150445246,59.37847866419295,11.370978664192949,9.266098976135254,64G,vggt_agg_avg_mlp,[1024],500000,32,4,128,2000000,output/r2dreamer-3d-67/agg-avg-e256-cap500k/run-4964093,Rerun the best embedding size first with no-video/no-val; 48h is close but still short for 2M.
yi2jid95,r2d-L2-vggt-flatten-4891547,L2 WP/CP,4891547,crashed,SLURM time limit,1667250,48.004444444444445,48.0,34731.15915193038,57.58517852085104,9.580734076406591,14.38778305053711,64G,vggt,[4116],1000000,64,16,512,2000000,output/r2dreamer-curriculum-l2-vggt/run-4891547,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
6rrf50u3,r2d-L3-vggt-flatten-4893174,L3 WP/CP,4893174,crashed,SLURM time limit,1702750,48.00666666666667,48.0,35469.032078877935,56.387216757206474,8.380550090539813,14.922091484069824,64G,vggt,[4116],1000000,64,16,512,2000000,output/r2dreamer-curriculum-l3-vggt/run-4893174,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
0yxo39k4,r2d-L4-vggt-flatten-4891551,L4 WP/CP,4891551,crashed,SLURM time limit,1575229,48.00333333333333,48.0,32814.99201444344,60.947752146936516,12.944418813603185,14.987287521362305,64G,vggt,[4116],1000000,64,16,512,2000000,output/r2dreamer-curriculum-l4-vggt/run-4891551,Use resume chaining or 72h+ walltime; WP/CP is learning but 48h does not cover 2M.
