step,metric,value
3,latent/posterior_entropy,2.6126813888549805
3,latent/prior_entropy,2.611729621887207
3,loss/barlow,1022.5181274414062
3,loss/con,0.820260763168335
3,loss/dyn,9.733510971069336
3,loss/policy,-0.008068791590631008
3,loss/rep,9.733510971069336
3,loss/repval,11.06053638458252
3,loss/rew,5.541263580322266
3,loss/value,0.6450531482696533
3,nan_skipped,0.0
3,opt_loss,72.1494369506836
3,params/encoder_l2,55.41512680053711
3,total_loss,72.1494369506836
3,perf/fps_cumulative,0.029964692198846673
3,perf/fps_interval,0.029964692198846673
3,perf/ms_per_step_interval,33372.610449790955
251,latent/posterior_entropy,2.6555018424987793
251,latent/prior_entropy,2.7371792793273926
251,loss/barlow,1007.625732421875
251,loss/con,0.5650899410247803
251,loss/dyn,3.058042049407959
251,loss/policy,-0.012708350084722042
251,loss/rep,3.058042049407959
251,loss/repval,11.0139741897583
251,loss/rew,5.520003318786621
251,loss/value,1.0117523670196533
251,nan_skipped,0.0
251,opt_loss,64.13346862792969
251,params/encoder_l2,55.41525650024414
251,total_loss,64.13346862792969
251,perf/fps_cumulative,1.6568288098751582
251,perf/fps_interval,13.32806805479627
251,perf/ms_per_step_interval,75.0296288920987
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-3.7547676563262344
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.3392769296458481
499,episode/dtg,2.425021171569824
499,metrics/sr_last,0.0
499,metrics/reward,-3.7547676563262344
499,metrics/reward_mean,-3.7547676563262344
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.3392769296458481
499,metrics/softspl_mean,0.3392769296458481
499,metrics/dtg,2.425021171569824
499,metrics/dtg_mean,2.425021171569824
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-3.7547676563262344
499,episode/steps,500
499,episode/path_length,2.2515232851728797
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.6134517073062419
499,episode_reset,1
499,action/stop_pct,0.26
499,action/forward_pct,0.212
499,action/left_pct,0.25
499,action/right_pct,0.278
503,latent/posterior_entropy,2.50964617729187
503,latent/prior_entropy,2.7302968502044678
503,loss/barlow,909.7531127929688
503,loss/con,0.15459147095680237
503,loss/dyn,6.901481628417969
503,loss/policy,-0.05251253768801689
503,loss/rep,6.901481628417969
503,loss/repval,10.806669235229492
503,loss/rew,5.404228687286377
503,loss/value,4.085156440734863
503,nan_skipped,0.0
503,opt_loss,65.91275024414062
503,params/encoder_l2,55.41716384887695
503,total_loss,65.91275024414062
503,perf/fps_cumulative,2.9331064988355564
503,perf/fps_interval,12.770046079541904
503,perf/ms_per_step_interval,78.30825306120373
751,latent/posterior_entropy,2.3954432010650635
751,latent/prior_entropy,2.68700909614563
751,loss/barlow,600.4253540039062
751,loss/con,0.13505703210830688
751,loss/dyn,8.638686180114746
751,loss/policy,-0.05954830348491669
751,loss/rep,8.638686180114746
751,loss/repval,10.269752502441406
751,loss/rew,5.155084133148193
751,loss/value,4.391891002655029
751,nan_skipped,0.0
751,opt_loss,52.227230072021484
