step,metric,value
7,latent/posterior_entropy,2.612671375274658
7,latent/prior_entropy,2.611762523651123
7,loss/barlow,1023.7759399414062
7,loss/con,0.8173372745513916
7,loss/dyn,9.722480773925781
7,loss/policy,-2.4094762920867652e-05
7,loss/rep,9.722480773925781
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6420787572860718
7,nan_skipped,0.0
7,opt_loss,72.20234680175781
7,params/encoder_l2,55.41512680053711
7,total_loss,72.20234680175781
7,perf/fps_cumulative,0.05621511580877622
7,perf/fps_interval,0.05621511580877622
7,perf/ms_per_step_interval,17788.80974650383
255,latent/posterior_entropy,2.6261959075927734
255,latent/prior_entropy,2.7070295810699463
255,loss/barlow,1020.4035034179688
255,loss/con,0.7727845907211304
255,loss/dyn,5.024698257446289
255,loss/policy,-2.5183227990055457e-05
255,loss/rep,5.024698257446289
255,loss/repval,11.052947998046875
255,loss/rew,5.53790283203125
255,loss/value,0.6760832667350769
255,nan_skipped,0.0
255,opt_loss,66.8499755859375
255,params/encoder_l2,55.41511154174805
255,total_loss,66.8499755859375
255,perf/fps_cumulative,1.5989681012987742
255,perf/fps_interval,13.938239050852571
255,perf/ms_per_step_interval,71.74507456441079
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.29
503,latent/posterior_entropy,2.6531405448913574
503,latent/prior_entropy,2.736642837524414
503,loss/barlow,1006.498291015625
503,loss/con,0.5607526898384094
503,loss/dyn,3.137005567550659
503,loss/policy,-3.730214302777313e-05
503,loss/rep,3.137005567550659
503,loss/repval,11.024513244628906
503,loss/rew,5.519861698150635
503,loss/value,1.0205416679382324
503,nan_skipped,0.0
503,opt_loss,64.18409729003906
503,params/encoder_l2,55.41522979736328
503,total_loss,64.18409729003906
503,perf/fps_cumulative,2.838000360580422
503,perf/fps_interval,14.182310065623225
503,perf/ms_per_step_interval,70.5103749229062
751,latent/posterior_entropy,2.623274803161621
751,latent/prior_entropy,2.7392163276672363
751,loss/barlow,978.4872436523438
751,loss/con,0.28034868836402893
751,loss/dyn,3.7643885612487793
751,loss/policy,-8.75731129781343e-05
751,loss/rep,3.7643885612487793
751,loss/repval,10.931561470031738
751,loss/rew,5.480994701385498
751,loss/value,2.2484076023101807
751,nan_skipped,0.0
751,opt_loss,64.35432434082031
751,params/encoder_l2,55.415836334228516
751,total_loss,64.35432434082031
751,perf/fps_cumulative,3.8614662657130694
751,perf/fps_interval,14.456555308008483
751,perf/ms_per_step_interval,69.17277170765784
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-3.8665578365325555
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.24693248522378963
999,episode/dtg,3.4566471576690674
999,metrics/sr_last,0.0
999,metrics/reward,-4.450828194618175
999,metrics/reward_mean,-4.450828194618175
999,metrics/sr,0.0
