step,metric,value
1,latent/posterior_entropy,2.6018552780151367
1,latent/prior_entropy,2.6116886138916016
1,loss/barlow,1030.3023681640625
1,loss/con,0.787772536277771
1,loss/dyn,10.51844310760498
1,loss/policy,-0.00251761288382113
1,loss/rep,10.51844310760498
1,loss/repval,11.049541473388672
1,loss/rew,5.541263580322266
1,loss/value,0.6708950400352478
1,nan_skipped,0.0
1,opt_loss,73.3976821899414
1,params/encoder_l2,55.429161071777344
1,total_loss,73.3976821899414
1,perf/fps_cumulative,0.013788200901413746
1,perf/fps_interval,0.013788200901413746
1,perf/ms_per_step_interval,72525.77817440033
251,latent/posterior_entropy,2.437831401824951
251,latent/prior_entropy,2.707087516784668
251,loss/barlow,832.4772338867188
251,loss/con,0.230942040681839
251,loss/dyn,8.257146835327148
251,loss/policy,-0.010915986262261868
251,loss/rep,8.257146835327148
251,loss/repval,10.773664474487305
251,loss/rew,5.412540435791016
251,loss/value,2.8344967365264893
251,nan_skipped,0.0
251,opt_loss,62.405887603759766
251,params/encoder_l2,55.43011474609375
251,total_loss,62.405887603759766
251,perf/fps_cumulative,1.3921513997876678
251,perf/fps_interval,6.951543036230493
251,perf/ms_per_step_interval,143.85295391082764
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.531225442886289
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,4.113457202911377
499,metrics/sr_last,0.0
499,metrics/reward,-5.531225442886289
499,metrics/reward_mean,-5.531225442886289
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,4.113457202911377
499,metrics/dtg_mean,4.113457202911377
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.531225442886289
499,episode/steps,500
499,episode/path_length,6.460907670545112
499,episode/shortest_path,3.5822317600250244
499,episode/path_ratio,1.803598455757083
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.264
499,action/left_pct,0.25
499,action/right_pct,0.24
501,latent/posterior_entropy,2.3078556060791016
501,latent/prior_entropy,2.590179920196533
501,loss/barlow,337.64703369140625
501,loss/con,0.06813832372426987
501,loss/dyn,7.1587934494018555
501,loss/policy,-0.028125623241066933
501,loss/rep,7.1587934494018555
501,loss/repval,9.435277938842773
501,loss/rew,4.726509094238281
501,loss/value,5.7386627197265625
501,nan_skipped,0.0
501,opt_loss,38.092796325683594
501,params/encoder_l2,55.43159866333008
501,total_loss,38.092796325683594
501,perf/fps_cumulative,2.2979959361497833
501,perf/fps_interval,6.677989278531316
501,perf/ms_per_step_interval,149.74567317962646
751,latent/posterior_entropy,2.316453456878662
751,latent/prior_entropy,2.515307903289795
751,loss/barlow,267.9167175292969
751,loss/con,0.0260815117508173
751,loss/dyn,4.724272727966309
751,loss/policy,-0.06456921249628067
751,loss/rep,4.724272727966309
751,loss/repval,6.934011936187744
751,loss/rew,3.4572737216949463
751,loss/value,5.851592540740967
751,nan_skipped,0.0
751,opt_loss,29.943119049072266
751,params/encoder_l2,55.432701110839844
751,total_loss,29.943119049072266
751,perf/fps_cumulative,2.9601863711738052
751,perf/fps_interval,7.025067657854089
751,perf/ms_per_step_interval,142.3473834991455
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-4.975275039672792
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.004646687904093949
999,episode/dtg,5.296260833740234
999,metrics/sr_last,0.0
999,metrics/reward,-5.25325024127954
999,metrics/reward_mean,-5.25325024127954
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.0023233439520469745
999,metrics/softspl_mean,0.0023233439520469745
999,metrics/dtg,4.704859018325806
999,metrics/dtg_mean,4.704859018325806
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-5.25325024127954
999,episode/steps,500
999,episode/path_length,2.3380458350686695
999,episode/shortest_path,5.320985794067383
999,episode/path_ratio,0.43940087900168173
999,episode_reset,1
999,action/stop_pct,0.226
999,action/forward_pct,0.24
999,action/left_pct,0.262
999,action/right_pct,0.272
1001,latent/posterior_entropy,2.283301830291748
1001,latent/prior_entropy,2.4763803482055664
1001,loss/barlow,246.19094848632812
1001,loss/con,0.008257023990154266
1001,loss/dyn,4.694309234619141
1001,loss/policy,-0.1309591680765152
1001,loss/rep,4.694309234619141
1001,loss/repval,4.508944034576416
1001,loss/rew,1.9695255756378174
1001,loss/value,3.5385303497314453
1001,nan_skipped,0.0
1001,opt_loss,24.211326599121094
1001,params/encoder_l2,55.43354797363281
1001,total_loss,24.211326599121094
1001,perf/fps_cumulative,3.442683295991318
1001,perf/fps_interval,6.754204387173229
1001,perf/ms_per_step_interval,148.05592823028564
1251,latent/posterior_entropy,2.160281181335449
1251,latent/prior_entropy,2.363996982574463
1251,loss/barlow,180.77944946289062
1251,loss/con,0.012121657840907574
1251,loss/dyn,4.105008125305176
1251,loss/policy,-0.11026151478290558
1251,loss/rep,4.105008125305176
1251,loss/repval,2.9323062896728516
1251,loss/rew,0.7028796672821045
1251,loss/value,1.7485320568084717
1251,nan_skipped,0.0
1251,opt_loss,16.787445068359375
1251,params/encoder_l2,55.434871673583984
1251,total_loss,16.787445068359375
1251,perf/fps_cumulative,3.8412862274717936
1251,perf/fps_interval,7.167338134119824
1251,perf/ms_per_step_interval,139.52181148529053
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-3.8396911621093492
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.1443979609883693
1499,episode/dtg,1.2467772960662842
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.782063881556144
1499,metrics/reward_mean,-4.782063881556144
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.04968154963082108
1499,metrics/softspl_mean,0.04968154963082108
1499,metrics/dtg,3.5521651109059653
1499,metrics/dtg_mean,3.5521651109059653
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.782063881556144
1499,episode/steps,500
1499,episode/path_length,8.03549322960373
1499,episode/shortest_path,2.407086133956909
1499,episode/path_ratio,3.3382657630097
1499,episode_reset,1
1499,action/stop_pct,0.228
1499,action/forward_pct,0.246
1499,action/left_pct,0.294
1499,action/right_pct,0.232
1501,latent/posterior_entropy,2.102065324783325
1501,latent/prior_entropy,2.282994270324707
1501,loss/barlow,173.85433959960938
1501,loss/con,0.009223002940416336
1501,loss/dyn,4.124424457550049
1501,loss/policy,-0.10962792485952377
1501,loss/rep,4.124424457550049
1501,loss/repval,3.4163765907287598
1501,loss/rew,0.37751418352127075
1501,loss/value,1.4312423467636108
1501,nan_skipped,0.0
1501,opt_loss,15.962848663330078
1501,params/encoder_l2,55.43648147583008
1501,total_loss,15.962848663330078
1501,perf/fps_cumulative,4.14787251348966
1501,perf/fps_interval,6.9097319918121425
1501,perf/ms_per_step_interval,144.72341346740723
1751,latent/posterior_entropy,2.0030369758605957
