step,metric,value
1,latent/posterior_entropy,2.623317003250122
1,latent/prior_entropy,2.6152515411376953
1,loss/barlow,1024.4300537109375
1,loss/con,0.8465570211410522
1,loss/dyn,9.364389419555664
1,loss/policy,-0.002361940685659647
1,loss/rep,9.364389419555664
1,loss/repval,11.049541473388672
1,loss/rew,5.541263580322266
1,loss/value,0.6294112801551819
1,nan_skipped,0.0
1,opt_loss,71.85206604003906
1,params/encoder_l2,67.16371154785156
1,total_loss,71.85206604003906
1,perf/fps_cumulative,0.014161561870730444
1,perf/fps_interval,0.014161561870730444
1,perf/ms_per_step_interval,70613.68012428284
251,latent/posterior_entropy,2.4526772499084473
251,latent/prior_entropy,2.7181527614593506
251,loss/barlow,877.8599853515625
251,loss/con,0.18267256021499634
251,loss/dyn,8.272588729858398
251,loss/policy,-0.013348186388611794
251,loss/rep,8.272588729858398
251,loss/repval,10.776758193969727
251,loss/rew,5.40771484375
251,loss/value,3.4574453830718994
251,nan_skipped,0.0
251,opt_loss,65.26036834716797
251,params/encoder_l2,67.16585540771484
251,total_loss,65.26036834716797
251,perf/fps_cumulative,1.417952971275864
251,perf/fps_interval,6.850511441648195
251,perf/ms_per_step_interval,145.97450256347656
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.531225442886289
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,4.113457202911377
499,metrics/sr_last,0.0
499,metrics/reward,-5.531225442886289
499,metrics/reward_mean,-5.531225442886289
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,4.113457202911377
499,metrics/dtg_mean,4.113457202911377
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.531225442886289
499,episode/steps,500
499,episode/path_length,6.460907670545112
499,episode/shortest_path,3.5822317600250244
499,episode/path_ratio,1.803598455757083
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.264
499,action/left_pct,0.25
499,action/right_pct,0.24
501,latent/posterior_entropy,2.31268310546875
501,latent/prior_entropy,2.608790874481201
501,loss/barlow,376.98162841796875
501,loss/con,0.07075396180152893
501,loss/dyn,7.748478412628174
501,loss/policy,-0.02711159735918045
501,loss/rep,7.748478412628174
501,loss/repval,9.448224067687988
501,loss/rew,4.725244522094727
501,loss/value,5.556827068328857
501,nan_skipped,0.0
501,opt_loss,40.532588958740234
501,params/encoder_l2,67.16991424560547
501,total_loss,40.532588958740234
501,perf/fps_cumulative,2.3290214772300435
501,perf/fps_interval,6.610228005510507
501,perf/ms_per_step_interval,151.28071212768555
751,latent/posterior_entropy,2.304072380065918
751,latent/prior_entropy,2.534834623336792
751,loss/barlow,293.8257141113281
751,loss/con,0.027029145509004593
751,loss/dyn,5.6394758224487305
751,loss/policy,-0.0644090324640274
751,loss/rep,5.6394758224487305
751,loss/repval,6.940435886383057
751,loss/rew,3.4603865146636963
751,loss/value,5.860450744628906
751,nan_skipped,0.0
751,opt_loss,32.26029968261719
751,params/encoder_l2,67.17176818847656
751,total_loss,32.26029968261719
751,perf/fps_cumulative,2.9914800080052992
751,perf/fps_interval,6.97555874183878
751,perf/ms_per_step_interval,143.35769176483154
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-4.975275039672792
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.004646687904093949
999,episode/dtg,5.296260833740234
999,metrics/sr_last,0.0
999,metrics/reward,-5.25325024127954
999,metrics/reward_mean,-5.25325024127954
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.0023233439520469745
999,metrics/softspl_mean,0.0023233439520469745
999,metrics/dtg,4.704859018325806
999,metrics/dtg_mean,4.704859018325806
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-5.25325024127954
999,episode/steps,500
999,episode/path_length,2.3380458350686695
999,episode/shortest_path,5.320985794067383
999,episode/path_ratio,0.43940087900168173
999,episode_reset,1
999,action/stop_pct,0.226
999,action/forward_pct,0.24
999,action/left_pct,0.262
999,action/right_pct,0.272
1001,latent/posterior_entropy,2.258241653442383
1001,latent/prior_entropy,2.495058536529541
1001,loss/barlow,253.66912841796875
1001,loss/con,0.008165665902197361
1001,loss/dyn,5.7531280517578125
1001,loss/policy,-0.1311454176902771
1001,loss/rep,5.7531280517578125
1001,loss/repval,4.519838809967041
1001,loss/rew,1.9714782238006592
1001,loss/value,3.5543832778930664
1001,nan_skipped,0.0
1001,opt_loss,25.77073097229004
1001,params/encoder_l2,67.17369079589844
1001,total_loss,25.77073097229004
1001,perf/fps_cumulative,3.4701778753372485
1001,perf/fps_interval,6.6906784101841525
1001,perf/ms_per_step_interval,149.46167469024658
1251,latent/posterior_entropy,2.155210494995117
1251,latent/prior_entropy,2.3885087966918945
1251,loss/barlow,193.2685546875
1251,loss/con,0.010608392767608166
1251,loss/dyn,5.27056884765625
1251,loss/policy,-0.11208952963352203
1251,loss/rep,5.27056884765625
1251,loss/repval,2.944579601287842
1251,loss/rew,0.6996870040893555
