step,metric,value
3,latent/posterior_entropy,2.6126813888549805
3,latent/prior_entropy,2.611729145050049
3,loss/barlow,1022.5181274414062
3,loss/con,0.820260763168335
3,loss/dyn,9.73351764678955
3,loss/policy,-0.008068788796663284
3,loss/rep,9.73351764678955
3,loss/repval,11.06053638458252
3,loss/rew,5.541263580322266
3,loss/value,0.6450528502464294
3,nan_skipped,0.0
3,opt_loss,72.1494369506836
3,params/encoder_l2,55.41512680053711
3,total_loss,72.1494369506836
3,perf/fps_cumulative,0.03055853724276464
3,perf/fps_interval,0.03055853724276464
3,perf/ms_per_step_interval,32724.079430103302
251,latent/posterior_entropy,2.655500888824463
251,latent/prior_entropy,2.737185478210449
251,loss/barlow,1007.6254272460938
251,loss/con,0.5651061534881592
251,loss/dyn,3.0579452514648438
251,loss/policy,-0.012707173824310303
251,loss/rep,3.0579452514648438
251,loss/repval,11.013970375061035
251,loss/rew,5.520002365112305
251,loss/value,1.0116584300994873
251,nan_skipped,0.0
251,opt_loss,64.13326263427734
251,params/encoder_l2,55.41525650024414
251,total_loss,64.13326263427734
251,perf/fps_cumulative,1.6961729299047943
251,perf/fps_interval,14.032356480891098
251,perf/ms_per_step_interval,71.26386800119954
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-3.7547676563262344
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.3392769296458481
499,episode/dtg,2.425021171569824
499,metrics/sr_last,0.0
499,metrics/reward,-3.7547676563262344
499,metrics/reward_mean,-3.7547676563262344
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.3392769296458481
499,metrics/softspl_mean,0.3392769296458481
499,metrics/dtg,2.425021171569824
499,metrics/dtg_mean,2.425021171569824
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-3.7547676563262344
499,episode/steps,500
499,episode/path_length,2.2515232851728797
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.6134517073062419
499,episode_reset,1
499,action/stop_pct,0.26
499,action/forward_pct,0.212
499,action/left_pct,0.25
499,action/right_pct,0.278
503,latent/posterior_entropy,2.509653329849243
503,latent/prior_entropy,2.7302894592285156
503,loss/barlow,909.7940673828125
503,loss/con,0.15459509193897247
503,loss/dyn,6.901384353637695
503,loss/policy,-0.05250644311308861
503,loss/rep,6.901384353637695
503,loss/repval,10.806654930114746
503,loss/rew,5.404223918914795
503,loss/value,4.084681034088135
503,nan_skipped,0.0
503,opt_loss,65.91421508789062
503,params/encoder_l2,55.41716384887695
503,total_loss,65.91421508789062
503,perf/fps_cumulative,3.030635208288884
503,perf/fps_interval,14.211584256931243
503,perf/ms_per_step_interval,70.36513184744214
751,latent/posterior_entropy,2.3936290740966797
751,latent/prior_entropy,2.6867501735687256
751,loss/barlow,600.6064453125
751,loss/con,0.13387253880500793
751,loss/dyn,8.736001968383789
751,loss/policy,-0.05994891747832298
751,loss/rep,8.736001968383789
751,loss/repval,10.269187927246094
751,loss/rew,5.154243469238281
751,loss/value,4.421390056610107
751,nan_skipped,0.0
751,opt_loss,52.3702392578125
751,params/encoder_l2,55.419273376464844
751,total_loss,52.3702392578125
751,perf/fps_cumulative,4.096249892904363
751,perf/fps_interval,14.35120438651631
751,perf/ms_per_step_interval,69.68056290380417
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-4.841176509857119
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.03460139422809716
999,episode/dtg,4.431265830993652
999,metrics/sr_last,0.0
999,metrics/reward,-4.297972083091677
999,metrics/reward_mean,-4.297972083091677
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.18693916193697263
999,metrics/softspl_mean,0.18693916193697263
999,metrics/dtg,3.4281435012817383
999,metrics/dtg_mean,3.4281435012817383
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-4.297972083091677
999,episode/steps,500
999,episode/path_length,0.3636513948440552
999,episode/shortest_path,4.590089321136475
999,episode/path_ratio,0.0792253416876902
999,episode_reset,1
999,action/stop_pct,0.266
999,action/forward_pct,0.26
999,action/left_pct,0.244
999,action/right_pct,0.23
1003,latent/posterior_entropy,2.3297367095947266
1003,latent/prior_entropy,2.634753942489624
1003,loss/barlow,379.2539367675781
1003,loss/con,0.07432597875595093
1003,loss/dyn,8.17965030670166
1003,loss/policy,-0.08589942008256912
1003,loss/rep,8.17965030670166
1003,loss/repval,9.447244644165039
1003,loss/rew,4.734109878540039
1003,loss/value,5.697831630706787
1003,nan_skipped,0.0
1003,opt_loss,41.2148551940918
1003,params/encoder_l2,55.420867919921875
1003,total_loss,41.2148551940918
1003,perf/fps_cumulative,4.99512278666431
1003,perf/fps_interval,14.471522130340725
1003,perf/ms_per_step_interval,69.10123143877301
1251,latent/posterior_entropy,2.3240396976470947
1251,latent/prior_entropy,2.596991539001465
1251,loss/barlow,301.2186279296875
1251,loss/con,0.03855796903371811
1251,loss/dyn,7.246938228607178
1251,loss/policy,-0.12160316109657288
1251,loss/rep,7.246938228607178
1251,loss/repval,8.277524948120117
1251,loss/rew,4.139151096343994
1251,loss/value,6.613912105560303
1251,nan_skipped,0.0
1251,opt_loss,36.18583679199219
1251,params/encoder_l2,55.42258071899414
1251,total_loss,36.18583679199219
1251,perf/fps_cumulative,5.724983757266101
1251,perf/fps_interval,14.015641386672248
1251,perf/ms_per_step_interval,71.34885749509257
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-5.192593812942439
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.0
1499,episode/dtg,3.7748255729675293
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.596179326375265
1499,metrics/reward_mean,-4.596179326375265
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.12462610795798175
1499,metrics/softspl_mean,0.12462610795798175
1499,metrics/dtg,3.5437041918436685
1499,metrics/dtg_mean,3.5437041918436685
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.596179326375265
1499,episode/steps,500
1499,episode/path_length,2.257653333807525
1499,episode/shortest_path,3.5822317600250244
1499,episode/path_ratio,0.6302365355031506
1499,episode_reset,1
1499,action/stop_pct,0.226
1499,action/forward_pct,0.26
1499,action/left_pct,0.276
1499,action/right_pct,0.238
1503,latent/posterior_entropy,2.334627628326416
1503,latent/prior_entropy,2.557051181793213
1503,loss/barlow,289.2989807128906
1503,loss/con,0.012563029304146767
1503,loss/dyn,5.646678447723389
1503,loss/policy,-0.15465767681598663
1503,loss/rep,5.646678447723389
1503,loss/repval,6.988667011260986
1503,loss/rew,3.4391229152679443
1503,loss/value,6.083799839019775
1503,nan_skipped,0.0
1503,opt_loss,32.153724670410156
1503,params/encoder_l2,55.42452621459961
1503,total_loss,32.153724670410156
1503,perf/fps_cumulative,6.366693937844736
1503,perf/fps_interval,14.368161936265594
1503,perf/ms_per_step_interval,69.59832471514505
1751,latent/posterior_entropy,2.338195562362671
1751,latent/prior_entropy,2.514791488647461
1751,loss/barlow,238.76272583007812
1751,loss/con,0.012823367491364479
1751,loss/dyn,4.783885955810547
1751,loss/policy,-0.19232338666915894
1751,loss/rep,4.783885955810547
1751,loss/repval,5.6577935218811035
1751,loss/rew,2.7000865936279297
1751,loss/value,4.944122791290283
1751,nan_skipped,0.0
1751,opt_loss,26.362457275390625
1751,params/encoder_l2,55.42639923095703
1751,total_loss,26.362457275390625
1751,perf/fps_cumulative,6.898151469185928
1751,perf/fps_interval,13.970468446283093
1751,perf/ms_per_step_interval,71.57956111815668
1999,episode/count,4
1999,episode/goal,chair
1999,episode/scene,u5atqC7vRCY
1999,episode/reward,-3.97218656539913
1999,episode/success,0.0
1999,episode/spl,0.0
1999,episode/softspl,0.19316222113330717
1999,episode/dtg,4.293172359466553
1999,metrics/sr_last,0.0
1999,metrics/reward,-4.440181136131231
1999,metrics/reward_mean,-4.440181136131231
1999,metrics/sr,0.0
1999,metrics/sr_mean,0.0
1999,metrics/spl,0.0
1999,metrics/spl_mean,0.0
1999,metrics/softspl,0.1417601362518131
1999,metrics/softspl_mean,0.1417601362518131
1999,metrics/dtg,3.7310712337493896
1999,metrics/dtg_mean,3.7310712337493896
1999,goal/chair/sr,0.0
1999,goal/chair/spl,0.0
1999,goal/chair/reward,-4.440181136131231
1999,episode/steps,500
1999,episode/path_length,1.238692977908613
1999,episode/shortest_path,5.320985794067383
1999,episode/path_ratio,0.2327938892995524
1999,episode_reset,1
1999,action/stop_pct,0.234
1999,action/forward_pct,0.264
1999,action/left_pct,0.258
1999,action/right_pct,0.244
2003,latent/posterior_entropy,2.347324848175049
2003,latent/prior_entropy,2.497243881225586
2003,loss/barlow,212.7740478515625
2003,loss/con,0.0274196770042181
2003,loss/dyn,3.818211555480957
2003,loss/policy,-0.2180478274822235
2003,loss/rep,3.818211555480957
2003,loss/repval,4.444982528686523
2003,loss/rew,1.9425781965255737
2003,loss/value,3.613450765609741
2003,nan_skipped,0.0
2003,opt_loss,21.537630081176758
2003,params/encoder_l2,55.42800521850586
2003,total_loss,21.537630081176758
2003,perf/fps_cumulative,7.381916417269592
2003,perf/fps_interval,14.405651936728258
2003,perf/ms_per_step_interval,69.41719849904378
2251,latent/posterior_entropy,2.313286066055298
2251,latent/prior_entropy,2.4776835441589355
2251,loss/barlow,194.32032775878906
2251,loss/con,0.021247781813144684
2251,loss/dyn,3.7808902263641357
2251,loss/policy,-0.210610032081604
2251,loss/rep,3.7808902263641357
2251,loss/repval,3.5549838542938232
2251,loss/rew,1.248600721359253
2251,loss/value,2.446385622024536
2251,nan_skipped,0.0
2251,opt_loss,18.44711685180664
2251,params/encoder_l2,55.4299201965332
2251,total_loss,18.44711685180664
2251,perf/fps_cumulative,7.790538463561081
2251,perf/fps_interval,14.09541467432029
2251,perf/ms_per_step_interval,70.94505717677455
2499,episode/count,5
2499,episode/goal,chair
2499,episode/scene,u5atqC7vRCY
2499,episode/reward,-4.319416046142531
2499,episode/success,0.0
2499,episode/spl,0.0
2499,episode/softspl,0.2827418363873162
2499,episode/dtg,1.7265021800994873
2499,metrics/sr_last,0.0
2499,metrics/reward,-4.416028118133491
2499,metrics/reward_mean,-4.416028118133491
2499,metrics/sr,0.0
2499,metrics/sr_mean,0.0
2499,metrics/spl,0.0
2499,metrics/spl_mean,0.0
2499,metrics/softspl,0.16995647627891372
2499,metrics/softspl_mean,0.16995647627891372
2499,metrics/dtg,3.330157423019409
2499,metrics/dtg_mean,3.330157423019409
2499,goal/chair/sr,0.0
2499,goal/chair/spl,0.0
2499,goal/chair/reward,-4.416028118133491
2499,episode/steps,500
2499,episode/path_length,1.1026656478643417
2499,episode/shortest_path,2.407086133956909
2499,episode/path_ratio,0.45809147928234517
2499,episode_reset,1
2499,action/stop_pct,0.248
2499,action/forward_pct,0.246
2499,action/left_pct,0.276
2499,action/right_pct,0.23
2503,latent/posterior_entropy,2.2963953018188477
2503,latent/prior_entropy,2.452122211456299
2503,loss/barlow,184.3128204345703
2503,loss/con,0.0034666634164750576
2503,loss/dyn,3.932837963104248
2503,loss/policy,-0.20021773874759674
2503,loss/rep,3.932837963104248
2503,loss/repval,2.9264042377471924
2503,loss/rew,0.6746909618377686
2503,loss/value,1.7498862743377686
2503,nan_skipped,0.0
2503,opt_loss,16.647510528564453
2503,params/encoder_l2,55.43235778808594
2503,total_loss,16.647510528564453
2503,perf/fps_cumulative,8.154893950182622
2503,perf/fps_interval,14.010672964301678
2503,perf/ms_per_step_interval,71.37415901062981
2751,latent/posterior_entropy,2.27235746383667
2751,latent/prior_entropy,2.420147180557251
2751,loss/barlow,188.71115112304688
2751,loss/con,0.00395796075463295
2751,loss/dyn,3.7358853816986084
2751,loss/policy,-0.196783646941185
2751,loss/rep,3.7358853816986084
2751,loss/repval,2.7379486560821533
2751,loss/rew,0.3937322795391083
2751,loss/value,1.3956035375595093
2751,nan_skipped,0.0
2751,opt_loss,15.962924003601074
2751,params/encoder_l2,55.43529510498047
2751,total_loss,15.962924003601074
2751,perf/fps_cumulative,8.47603127106724
2751,perf/fps_interval,14.070623726981681
2751,perf/ms_per_step_interval,71.07005484642521
2999,episode/count,6
2999,episode/goal,chair
2999,episode/scene,u5atqC7vRCY
2999,episode/reward,-4.483720064163157
2999,episode/success,0.0
2999,episode/spl,0.0
2999,episode/softspl,0.2519933147326312
2999,episode/dtg,1.5325043201446533
2999,metrics/sr_last,0.0
2999,metrics/reward,-4.4273101091384355
2999,metrics/reward_mean,-4.4273101091384355
2999,metrics/sr,0.0
2999,metrics/sr_mean,0.0
2999,metrics/spl,0.0
2999,metrics/spl_mean,0.0
2999,metrics/softspl,0.18362928268786663
2999,metrics/softspl_mean,0.18362928268786663
2999,metrics/dtg,3.030548572540283
2999,metrics/dtg_mean,3.030548572540283
2999,goal/chair/sr,0.0
2999,goal/chair/spl,0.0
2999,goal/chair/reward,-4.4273101091384355
2999,episode/steps,500
2999,episode/path_length,1.110983643680811
2999,episode/shortest_path,2.0487842559814453
2999,episode/path_ratio,0.5422648287330809
2999,episode_reset,1
2999,action/stop_pct,0.248
2999,action/forward_pct,0.226
2999,action/left_pct,0.276
2999,action/right_pct,0.25
3003,latent/posterior_entropy,2.2543089389801025
3003,latent/prior_entropy,2.3996129035949707
3003,loss/barlow,160.9170379638672
3003,loss/con,0.012328351847827435
3003,loss/dyn,3.948072910308838
3003,loss/policy,-0.1990373134613037
3003,loss/rep,3.948072910308838
3003,loss/repval,2.708975315093994
3003,loss/rew,0.3551926612854004
3003,loss/value,1.362586259841919
3003,nan_skipped,0.0
3003,opt_loss,14.732494354248047
3003,params/encoder_l2,55.439125061035156
3003,total_loss,14.732494354248047
3003,perf/fps_cumulative,8.767994577938827
3003,perf/fps_interval,14.055091847582279
3003,perf/ms_per_step_interval,71.14859232826838
3251,latent/posterior_entropy,2.2491464614868164
3251,latent/prior_entropy,2.368847370147705
3251,loss/barlow,145.0641326904297
3251,loss/con,0.016550213098526
3251,loss/dyn,3.5274345874786377
3251,loss/policy,-0.1943594366312027
3251,loss/rep,3.5274345874786377
3251,loss/repval,2.9560348987579346
3251,loss/rew,0.29219186305999756
3251,loss/value,1.377433180809021
3251,nan_skipped,0.0
3251,opt_loss,13.512009620666504
3251,params/encoder_l2,55.443153381347656
3251,total_loss,13.512009620666504
3251,perf/fps_cumulative,9.02572051079529
3251,perf/fps_interval,14.016094827455294
3251,perf/ms_per_step_interval,71.34654925715539
3499,episode/count,7
3499,episode/goal,chair
3499,episode/scene,u5atqC7vRCY
3499,episode/reward,-4.237619876861509
3499,episode/success,0.0
3499,episode/spl,0.0
3499,episode/softspl,0.09790443083649668
3499,episode/dtg,2.9802942276000977
3499,metrics/sr_last,0.0
3499,metrics/reward,-4.400211504527446
3499,metrics/reward_mean,-4.400211504527446
3499,metrics/sr,0.0
3499,metrics/sr_mean,0.0
3499,metrics/spl,0.0
3499,metrics/spl_mean,0.0
3499,metrics/softspl,0.17138287528052806
3499,metrics/softspl_mean,0.17138287528052806
3499,metrics/dtg,3.023369380405971
3499,metrics/dtg_mean,3.023369380405971
3499,goal/chair/sr,0.0
3499,goal/chair/spl,0.0
3499,goal/chair/reward,-4.400211504527446
3499,episode/steps,500
3499,episode/path_length,7.78698284260112
3499,episode/shortest_path,3.7426743507385254
3499,episode/path_ratio,2.080593210324203
3499,episode_reset,1
3499,action/stop_pct,0.252
3499,action/forward_pct,0.242
3499,action/left_pct,0.242
3499,action/right_pct,0.264
3503,latent/posterior_entropy,2.2032947540283203
3503,latent/prior_entropy,2.3367557525634766
3503,loss/barlow,132.24508666992188
3503,loss/con,0.02126331254839897
3503,loss/dyn,3.3772826194763184
3503,loss/policy,-0.1976795792579651
3503,loss/rep,3.3772826194763184
3503,loss/repval,3.04679274559021
3503,loss/rew,0.3018753230571747
3503,loss/value,1.2803494930267334
3503,nan_skipped,0.0
3503,opt_loss,12.647111892700195
3503,params/encoder_l2,55.447017669677734
3503,total_loss,12.647111892700195
3503,perf/fps_cumulative,9.259213643502504
3503,perf/fps_interval,13.899445832762554
3503,perf/ms_per_step_interval,71.94531436950442
3751,latent/posterior_entropy,2.1801581382751465
3751,latent/prior_entropy,2.2989304065704346
3751,loss/barlow,136.99862670898438
3751,loss/con,0.01686462201178074
3751,loss/dyn,3.655296564102173
3751,loss/policy,-0.19518886506557465
3751,loss/rep,3.655296564102173
3751,loss/repval,2.4541962146759033
3751,loss/rew,0.331996351480484
3751,loss/value,1.1841347217559814
3751,nan_skipped,0.0
3751,opt_loss,12.944823265075684
3751,params/encoder_l2,55.451839447021484
3751,total_loss,12.944823265075684
3751,perf/fps_cumulative,9.467281842708436
3751,perf/fps_interval,13.87147954431384
3751,perf/ms_per_step_interval,72.09036331022939
3999,episode/count,8
3999,episode/goal,chair
3999,episode/scene,u5atqC7vRCY
3999,episode/reward,-3.5107598304747896
3999,episode/success,0.0
3999,episode/spl,0.0
3999,episode/softspl,0.1603801247068838
3999,episode/dtg,7.796450138092041
3999,metrics/sr_last,0.0
3999,metrics/reward,-4.289030045270864
3999,metrics/reward_mean,-4.289030045270864
3999,metrics/sr,0.0
3999,metrics/sr_mean,0.0
3999,metrics/spl,0.0
3999,metrics/spl_mean,0.0
3999,metrics/softspl,0.17000753145882253
3999,metrics/softspl_mean,0.17000753145882253
3999,metrics/dtg,3.6200044751167297
3999,metrics/dtg_mean,3.6200044751167297
3999,goal/chair/sr,0.0
3999,goal/chair/spl,0.0
3999,goal/chair/reward,-4.289030045270864
3999,episode/steps,500
3999,episode/path_length,3.0329672750085592
3999,episode/shortest_path,9.285690307617188
3999,episode/path_ratio,0.32662808843846236
3999,episode_reset,1
3999,action/stop_pct,0.236
3999,action/forward_pct,0.268
3999,action/left_pct,0.246
3999,action/right_pct,0.25
4003,latent/posterior_entropy,2.162128448486328
4003,latent/prior_entropy,2.2826626300811768
4003,loss/barlow,126.71438598632812
4003,loss/con,0.002537164371460676
4003,loss/dyn,3.3451626300811768
4003,loss/policy,-0.19111262261867523
4003,loss/rep,3.3451626300811768
4003,loss/repval,2.0726091861724854
4003,loss/rew,0.26483917236328125
4003,loss/value,0.9853377342224121
4003,nan_skipped,0.0
4003,opt_loss,11.698781967163086
4003,params/encoder_l2,55.45684051513672
4003,total_loss,11.698781967163086
4003,perf/fps_cumulative,9.657434115477377
4003,perf/fps_interval,13.777564449387791
4003,perf/ms_per_step_interval,72.58176898199414
4251,latent/posterior_entropy,2.134188175201416
4251,latent/prior_entropy,2.258549451828003
4251,loss/barlow,117.28831481933594
4251,loss/con,0.017854157835245132
4251,loss/dyn,3.3433117866516113
4251,loss/policy,-0.19319191575050354
4251,loss/rep,3.3433117866516113
4251,loss/repval,2.2789013385772705
4251,loss/rew,0.27351897954940796
4251,loss/value,1.319631814956665
4251,nan_skipped,0.0
4251,opt_loss,11.64354133605957
4251,params/encoder_l2,55.46100997924805
4251,total_loss,11.64354133605957
4251,perf/fps_cumulative,9.831063071476365
4251,perf/fps_interval,13.85184358860474
4251,perf/ms_per_step_interval,72.19255643506204
4499,episode/count,9
4499,episode/goal,chair
4499,episode/scene,u5atqC7vRCY
4499,episode/reward,-4.3813037872313965
4499,episode/success,0.0
4499,episode/spl,0.0
4499,episode/softspl,0.0702602135065743
4499,episode/dtg,8.187087059020996
4499,metrics/sr_last,0.0
4499,metrics/reward,-4.299282683266479
4499,metrics/reward_mean,-4.299282683266479
4499,metrics/sr,0.0
4499,metrics/sr_mean,0.0
4499,metrics/spl,0.0
