step,metric,value
7,latent/posterior_entropy,2.6171016693115234
7,latent/prior_entropy,2.6136322021484375
7,loss/barlow,1023.8033447265625
7,loss/con,0.7801380157470703
7,loss/dyn,9.427539825439453
7,loss/policy,-0.008379695937037468
7,loss/rep,9.427539825439453
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6699080467224121
7,nan_skipped,0.0
7,opt_loss,71.8615493774414
7,params/encoder_l2,55.422027587890625
7,total_loss,71.8615493774414
7,perf/fps_cumulative,0.05799329097434884
7,perf/fps_interval,0.05799329097434884
7,perf/ms_per_step_interval,17243.37390065193
255,latent/posterior_entropy,2.637758255004883
255,latent/prior_entropy,2.7103209495544434
255,loss/barlow,1023.16357421875
255,loss/con,0.7287503480911255
255,loss/dyn,4.803868770599365
255,loss/policy,-0.00877433456480503
255,loss/rep,4.803868770599365
255,loss/repval,11.052909851074219
255,loss/rew,5.5379533767700195
255,loss/value,0.7009916305541992
255,nan_skipped,0.0
255,opt_loss,66.71723175048828
255,params/encoder_l2,55.422035217285156
255,total_loss,66.71723175048828
255,perf/fps_cumulative,1.0090685964867645
255,perf/fps_interval,2.1425057981313325
255,perf/ms_per_step_interval,466.7431942878231
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.244
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.292
503,latent/posterior_entropy,2.66845703125
503,latent/prior_entropy,2.7412800788879395
503,loss/barlow,1006.7355346679688
503,loss/con,0.5441098213195801
503,loss/dyn,2.7948689460754395
503,loss/policy,-0.012842528522014618
503,loss/rep,2.7948689460754395
503,loss/repval,11.024023056030273
503,loss/rew,5.520075798034668
503,loss/value,1.022367238998413
503,nan_skipped,0.0
503,opt_loss,63.792049407958984
503,params/encoder_l2,55.42231369018555
503,total_loss,63.792049407958984
503,perf/fps_cumulative,1.861924002472302
503,perf/fps_interval,14.598165085804133
503,perf/ms_per_step_interval,68.5017599213508
