step,metric,value
7,latent/posterior_entropy,2.6437811851501465
7,latent/prior_entropy,2.615046977996826
7,loss/barlow,1025.4127197265625
7,loss/con,0.7847251892089844
7,loss/dyn,9.31300163269043
7,loss/policy,-0.008330775424838066
7,loss/rep,9.31300163269043
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.665996789932251
7,nan_skipped,0.0
7,opt_loss,71.81675720214844
7,params/encoder_l2,55.40851974487305
7,total_loss,71.81675720214844
7,perf/fps_cumulative,0.055664692235116615
7,perf/fps_interval,0.055664692235116615
7,perf/ms_per_step_interval,17964.709043502808
255,latent/posterior_entropy,2.6596145629882812
255,latent/prior_entropy,2.717740058898926
255,loss/barlow,1026.08935546875
255,loss/con,0.7544223666191101
255,loss/dyn,4.393322467803955
255,loss/policy,-0.008506864309310913
255,loss/rep,4.393322467803955
255,loss/repval,11.052851676940918
255,loss/rew,5.5379133224487305
255,loss/value,0.6796213984489441
255,nan_skipped,0.0
255,opt_loss,66.41642761230469
255,params/encoder_l2,55.408531188964844
255,total_loss,66.41642761230469
255,perf/fps_cumulative,0.9762143390141437
255,perf/fps_interval,2.092477026639157
255,perf/ms_per_step_interval,477.9024989374222
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.29
503,latent/posterior_entropy,2.6829357147216797
503,latent/prior_entropy,2.7452821731567383
503,loss/barlow,1010.0868530273438
503,loss/con,0.571453332901001
503,loss/dyn,2.4008283615112305
503,loss/policy,-0.01226377859711647
503,loss/rep,2.4008283615112305
503,loss/repval,11.023944854736328
503,loss/rew,5.519996643066406
503,loss/value,0.9762989282608032
503,nan_skipped,0.0
503,opt_loss,63.5079231262207
503,params/encoder_l2,55.408695220947266
503,total_loss,63.5079231262207
503,perf/fps_cumulative,1.800680753713403
503,perf/fps_interval,14.04569716693963
503,perf/ms_per_step_interval,71.19618115886566
751,latent/posterior_entropy,2.6653494834899902
751,latent/prior_entropy,2.7479584217071533
751,loss/barlow,988.7385864257812
751,loss/con,0.2651882767677307
751,loss/dyn,2.7707107067108154
751,loss/policy,-0.03014051355421543
751,loss/rep,2.7707107067108154
751,loss/repval,10.930825233459473
751,loss/rew,5.481560707092285
751,loss/value,2.380718946456909
751,nan_skipped,0.0
751,opt_loss,63.861289978027344
751,params/encoder_l2,55.409481048583984
751,total_loss,63.861289978027344
751,perf/fps_cumulative,2.5328613545591536
751,perf/fps_interval,14.585425934514094
751,perf/ms_per_step_interval,68.56159048695717
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-3.8665578365325555
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.24693248522378963
999,episode/dtg,3.4566471576690674
999,metrics/sr_last,0.0
999,metrics/reward,-4.450828194618175
999,metrics/reward_mean,-4.450828194618175
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.12346624261189482
999,metrics/softspl_mean,0.12346624261189482
999,metrics/dtg,3.5809996128082275
999,metrics/dtg_mean,3.5809996128082275
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-4.450828194618175
999,episode/steps,500
999,episode/path_length,1.8710896112024784
999,episode/shortest_path,4.590089321136475
999,episode/path_ratio,0.4076368628790015
999,episode_reset,1
999,action/stop_pct,0.294
999,action/forward_pct,0.222
999,action/left_pct,0.258
999,action/right_pct,0.226
1007,latent/posterior_entropy,2.5166635513305664
1007,latent/prior_entropy,2.7358641624450684
1007,loss/barlow,928.0623168945312
1007,loss/con,0.15396633744239807
1007,loss/dyn,6.836755752563477
1007,loss/policy,-0.05431434139609337
1007,loss/rep,6.836755752563477
1007,loss/repval,10.79443359375
1007,loss/rew,5.405956268310547
1007,loss/value,4.224246501922607
1007,nan_skipped,0.0
1007,opt_loss,66.89173126220703
1007,params/encoder_l2,55.411136627197266
1007,total_loss,66.89173126220703
1007,perf/fps_cumulative,3.2066641627353123
1007,perf/fps_interval,14.672218890648551
1007,perf/ms_per_step_interval,68.15601699054241
1255,latent/posterior_entropy,2.428546905517578
1255,latent/prior_entropy,2.7123632431030273
1255,loss/barlow,841.414794921875
1255,loss/con,0.1495072841644287
1255,loss/dyn,8.539388656616211
1255,loss/policy,-0.055983323603868484
1255,loss/rep,8.539388656616211
1255,loss/repval,10.576582908630371
1255,loss/rew,5.2962117195129395
1255,loss/value,4.255474090576172
1255,nan_skipped,0.0
1255,opt_loss,64.2822494506836
1255,params/encoder_l2,55.41248321533203
1255,total_loss,64.2822494506836
1255,perf/fps_cumulative,3.788587435290134
1255,perf/fps_interval,14.438232169309742
1255,perf/ms_per_step_interval,69.26055685166389
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-5.161313772201472
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.0
1499,episode/dtg,3.7435455322265625
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.687656720479274
1499,metrics/reward_mean,-4.687656720479274
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.08231082840792987
1499,metrics/softspl_mean,0.08231082840792987
1499,metrics/dtg,3.6351815859476724
1499,metrics/dtg_mean,3.6351815859476724
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.687656720479274
1499,episode/steps,500
1499,episode/path_length,0.20125915901735425
1499,episode/shortest_path,3.5822317600250244
1499,episode/path_ratio,0.05618261812740678
1499,episode_reset,1
1499,action/stop_pct,0.23
1499,action/forward_pct,0.254
1499,action/left_pct,0.274
1499,action/right_pct,0.242
1503,latent/posterior_entropy,2.3952784538269043
1503,latent/prior_entropy,2.687636613845825
1503,loss/barlow,641.3845825195312
1503,loss/con,0.1611168086528778
1503,loss/dyn,8.876487731933594
1503,loss/policy,-0.053867340087890625
1503,loss/rep,8.876487731933594
1503,loss/repval,10.272924423217773
1503,loss/rew,5.1612043380737305
1503,loss/value,3.9635133743286133
1503,nan_skipped,0.0
1503,opt_loss,54.147212982177734
1503,params/encoder_l2,55.413394927978516
1503,total_loss,54.147212982177734
1503,perf/fps_cumulative,4.296147486836999
1503,perf/fps_interval,13.362707391841658
1503,perf/ms_per_step_interval,74.83513412937042
1751,latent/posterior_entropy,2.362818479537964
1751,latent/prior_entropy,2.669860363006592
1751,loss/barlow,541.9959716796875
1751,loss/con,0.10106860101222992
1751,loss/dyn,8.750923156738281
1751,loss/policy,-0.07068238407373428
1751,loss/rep,8.750923156738281
1751,loss/repval,9.911641120910645
1751,loss/rew,4.960700988769531
1751,loss/value,4.953847408294678
1751,nan_skipped,0.0
1751,opt_loss,49.64424133300781
1751,params/encoder_l2,55.414222717285156
1751,total_loss,49.64424133300781
1751,perf/fps_cumulative,4.748482851899734
1751,perf/fps_interval,13.13638658128998
1751,perf/ms_per_step_interval,76.12443450958499
1999,episode/count,4
1999,episode/goal,chair
1999,episode/scene,u5atqC7vRCY
1999,episode/reward,-2.7816705703735116
1999,episode/success,0.0
1999,episode/spl,0.0
1999,episode/softspl,0.4169019643126626
1999,episode/dtg,3.102656364440918
1999,metrics/sr_last,0.0
1999,metrics/reward,-4.211160182952834
1999,metrics/reward_mean,-4.211160182952834
1999,metrics/sr,0.0
1999,metrics/sr_mean,0.0
1999,metrics/spl,0.0
1999,metrics/spl_mean,0.0
1999,metrics/softspl,0.16595861238411305
1999,metrics/softspl_mean,0.16595861238411305
1999,metrics/dtg,3.502050280570984
1999,metrics/dtg_mean,3.502050280570984
1999,goal/chair/sr,0.0
1999,goal/chair/spl,0.0
1999,goal/chair/reward,-4.211160182952834
1999,episode/steps,500
1999,episode/path_length,4.9385059755295515
1999,episode/shortest_path,5.320985794067383
1999,episode/path_ratio,0.9281186168615079
1999,episode_reset,1
1999,action/stop_pct,0.2
1999,action/forward_pct,0.254
1999,action/left_pct,0.278
1999,action/right_pct,0.268
2007,latent/posterior_entropy,2.347022533416748
2007,latent/prior_entropy,2.6399264335632324
2007,loss/barlow,454.42010498046875
2007,loss/con,0.07203324139118195
2007,loss/dyn,8.141927719116211
2007,loss/policy,-0.08840658515691757
2007,loss/rep,8.141927719116211
2007,loss/repval,9.415303230285645
2007,loss/rew,4.719322204589844
2007,loss/value,5.806869029998779
2007,nan_skipped,0.0
2007,opt_loss,45.011539459228516
2007,params/encoder_l2,55.41507339477539
2007,total_loss,45.011539459228516
2007,perf/fps_cumulative,5.172317006539089
2007,perf/fps_interval,13.29135009802809
2007,perf/ms_per_step_interval,75.23690164089203
2255,latent/posterior_entropy,2.32761287689209
2255,latent/prior_entropy,2.6102089881896973
2255,loss/barlow,358.53240966796875
2255,loss/con,0.05979766696691513
2255,loss/dyn,7.422842025756836
2255,loss/policy,-0.10423386842012405
2255,loss/rep,7.422842025756836
2255,loss/repval,8.88025951385498
2255,loss/rew,4.450658798217773
2255,loss/value,6.310573577880859
2255,nan_skipped,0.0
2255,opt_loss,39.472618103027344
2255,params/encoder_l2,55.416290283203125
2255,total_loss,39.472618103027344
2255,perf/fps_cumulative,5.5556130364564975
2255,perf/fps_interval,13.889510581766839
2255,perf/ms_per_step_interval,71.99677728837536
2499,episode/count,5
2499,episode/goal,chair
2499,episode/scene,u5atqC7vRCY
2499,episode/reward,-5.306378602981498
2499,episode/success,0.0
2499,episode/spl,0.0
2499,episode/softspl,0.0
2499,episode/dtg,2.7134647369384766
2499,metrics/sr_last,0.0
2499,metrics/reward,-4.430203866958567
2499,metrics/reward_mean,-4.430203866958567
2499,metrics/sr,0.0
2499,metrics/sr_mean,0.0
2499,metrics/spl,0.0
2499,metrics/spl_mean,0.0
2499,metrics/softspl,0.13276688990729044
2499,metrics/softspl_mean,0.13276688990729044
2499,metrics/dtg,3.3443331718444824
2499,metrics/dtg_mean,3.3443331718444824
2499,goal/chair/sr,0.0
2499,goal/chair/spl,0.0
2499,goal/chair/reward,-4.430203866958567
2499,episode/steps,500
2499,episode/path_length,1.9765653759241104
2499,episode/shortest_path,2.407086133956909
2499,episode/path_ratio,0.8211444318674698
2499,episode_reset,1
2499,action/stop_pct,0.258
2499,action/forward_pct,0.236
2499,action/left_pct,0.282
2499,action/right_pct,0.224
2503,latent/posterior_entropy,2.3214731216430664
2503,latent/prior_entropy,2.586867332458496
2503,loss/barlow,327.8489990234375
2503,loss/con,0.038928911089897156
2503,loss/dyn,7.1484270095825195
2503,loss/policy,-0.11936533451080322
2503,loss/rep,7.1484270095825195
2503,loss/repval,8.414267539978027
2503,loss/rew,4.15447998046875
2503,loss/value,6.490821838378906
2503,nan_skipped,0.0
2503,opt_loss,37.34486770629883
2503,params/encoder_l2,55.41743469238281
2503,total_loss,37.34486770629883
2503,perf/fps_cumulative,5.9067475018137605
2503,perf/fps_interval,13.896542898474571
2503,perf/ms_per_step_interval,71.96034346857378
2751,latent/posterior_entropy,2.306016683578491
2751,latent/prior_entropy,2.560809373855591
2751,loss/barlow,283.7966613769531
2751,loss/con,0.03377097100019455
2751,loss/dyn,6.376534938812256
2751,loss/policy,-0.13201090693473816
2751,loss/rep,6.376534938812256
2751,loss/repval,7.869917869567871
2751,loss/rew,3.8336305618286133
2751,loss/value,6.281655311584473
2751,nan_skipped,0.0
2751,opt_loss,33.5820426940918
2751,params/encoder_l2,55.41857147216797
2751,total_loss,33.5820426940918
2751,perf/fps_cumulative,6.23361742601517
2751,perf/fps_interval,14.126834928608504
2751,perf/ms_per_step_interval,70.78726445474932
2999,episode/count,6
2999,episode/goal,chair
2999,episode/scene,u5atqC7vRCY
2999,episode/reward,-4.843792915344188
2999,episode/success,0.0
2999,episode/spl,0.0
2999,episode/softspl,0.021706763162911258
2999,episode/dtg,1.8925771713256836
2999,metrics/sr_last,0.0
2999,metrics/reward,-4.499135375022838
2999,metrics/reward_mean,-4.499135375022838
2999,metrics/sr,0.0
2999,metrics/sr_mean,0.0
2999,metrics/spl,0.0
2999,metrics/spl_mean,0.0
2999,metrics/softspl,0.11425686878322723
2999,metrics/softspl_mean,0.11425686878322723
2999,metrics/dtg,3.1023738384246826
2999,metrics/dtg_mean,3.1023738384246826
2999,goal/chair/sr,0.0
2999,goal/chair/spl,0.0
2999,goal/chair/reward,-4.499135375022838
2999,episode/steps,500
2999,episode/path_length,7.196240336867049
2999,episode/shortest_path,2.0487842559814453
2999,episode/path_ratio,3.512444180424345
2999,episode_reset,1
2999,action/stop_pct,0.26
2999,action/forward_pct,0.25
2999,action/left_pct,0.258
2999,action/right_pct,0.232
3007,latent/posterior_entropy,2.2834489345550537
3007,latent/prior_entropy,2.531895160675049
3007,loss/barlow,243.17718505859375
3007,loss/con,0.03132639080286026
3007,loss/dyn,6.121821403503418
3007,loss/policy,-0.14834655821323395
3007,loss/rep,6.121821403503418
3007,loss/repval,7.087597370147705
3007,loss/rew,3.472790241241455
3007,loss/value,5.916529178619385
3007,nan_skipped,0.0
3007,opt_loss,30.291440963745117
3007,params/encoder_l2,55.419578552246094
3007,total_loss,30.291440963745117
3007,perf/fps_cumulative,6.54703874571346
3007,perf/fps_interval,14.248224687542512
3007,perf/ms_per_step_interval,70.18418237566948
3255,latent/posterior_entropy,2.2855851650238037
3255,latent/prior_entropy,2.5042476654052734
3255,loss/barlow,248.3300018310547
3255,loss/con,0.012849919497966766
3255,loss/dyn,5.410881996154785
3255,loss/policy,-0.16860675811767578
3255,loss/rep,5.410881996154785
3255,loss/repval,6.293102741241455
3255,loss/rew,3.0725741386413574
3255,loss/value,5.463072776794434
3255,nan_skipped,0.0
3255,opt_loss,28.63629150390625
3255,params/encoder_l2,55.42061996459961
3255,total_loss,28.63629150390625
3255,perf/fps_cumulative,6.827447277347681
3255,perf/fps_interval,14.2085844384801
3255,perf/ms_per_step_interval,70.37998783972955
3499,episode/count,7
3499,episode/goal,chair
3499,episode/scene,u5atqC7vRCY
3499,episode/reward,-6.120991706848066
3499,episode/success,0.0
3499,episode/spl,0.0
3499,episode/softspl,0.0
3499,episode/dtg,4.86366605758667
3499,metrics/sr_last,0.0
3499,metrics/reward,-4.730829136712155
3499,metrics/reward_mean,-4.730829136712155
3499,metrics/sr,0.0
3499,metrics/sr_mean,0.0
3499,metrics/spl,0.0
3499,metrics/spl_mean,0.0
3499,metrics/softspl,0.09793445895705191
3499,metrics/softspl_mean,0.09793445895705191
3499,metrics/dtg,3.353987012590681
3499,metrics/dtg_mean,3.353987012590681
3499,goal/chair/sr,0.0
3499,goal/chair/spl,0.0
3499,goal/chair/reward,-4.730829136712155
3499,episode/steps,500
3499,episode/path_length,5.5932582133221445
3499,episode/shortest_path,3.7426743507385254
3499,episode/path_ratio,1.4944549509680027
3499,episode_reset,1
3499,action/stop_pct,0.228
3499,action/forward_pct,0.25
3499,action/left_pct,0.27
3499,action/right_pct,0.252
3503,latent/posterior_entropy,2.3032066822052
3503,latent/prior_entropy,2.492615222930908
3503,loss/barlow,219.66461181640625
3503,loss/con,0.019069256260991096
3503,loss/dyn,4.703099727630615
3503,loss/policy,-0.18912965059280396
3503,loss/rep,4.703099727630615
3503,loss/repval,5.805141925811768
3503,loss/rew,2.721853256225586
3503,loss/value,4.89431095123291
3503,nan_skipped,0.0
3503,opt_loss,25.344287872314453
3503,params/encoder_l2,55.42147445678711
3503,total_loss,25.344287872314453
3503,perf/fps_cumulative,7.085933988559826
3503,perf/fps_interval,14.089145250689594
3503,perf/ms_per_step_interval,70.97662648847026
3751,latent/posterior_entropy,2.3031606674194336
3751,latent/prior_entropy,2.47460675239563
3751,loss/barlow,205.3856201171875
3751,loss/con,0.0225536972284317
3751,loss/dyn,4.355048179626465
3751,loss/policy,-0.20724183320999146
3751,loss/rep,4.355048179626465
3751,loss/repval,5.089349269866943
3751,loss/rew,2.354536771774292
3751,loss/value,4.255865573883057
3751,nan_skipped,0.0
3751,opt_loss,23.01235580444336
3751,params/encoder_l2,55.422325134277344
3751,total_loss,23.01235580444336
3751,perf/fps_cumulative,7.327682435320755
3751,perf/fps_interval,14.147074123297829
3751,perf/ms_per_step_interval,70.68599424054545
3999,episode/count,8
3999,episode/goal,chair
3999,episode/scene,u5atqC7vRCY
3999,episode/reward,-5.1430120468139
3999,episode/success,0.0
3999,episode/spl,0.0
3999,episode/softspl,0.0
3999,episode/dtg,9.428702354431152
3999,metrics/sr_last,0.0
3999,metrics/reward,-4.782352000474873
3999,metrics/reward_mean,-4.782352000474874
3999,metrics/sr,0.0
3999,metrics/sr_mean,0.0
3999,metrics/spl,0.0
3999,metrics/spl_mean,0.0
3999,metrics/softspl,0.08569265158742043
3999,metrics/softspl_mean,0.08569265158742043
3999,metrics/dtg,4.11332643032074
3999,metrics/dtg_mean,4.11332643032074
3999,goal/chair/sr,0.0
3999,goal/chair/spl,0.0
3999,goal/chair/reward,-4.782352000474873
3999,episode/steps,500
3999,episode/path_length,0.5131551763239486
3999,episode/shortest_path,9.285690307617188
3999,episode/path_ratio,0.05526300784584641
3999,episode_reset,1
3999,action/stop_pct,0.25
3999,action/forward_pct,0.242
3999,action/left_pct,0.254
3999,action/right_pct,0.254
4007,latent/posterior_entropy,2.2887191772460938
4007,latent/prior_entropy,2.460498094558716
4007,loss/barlow,203.0343475341797
4007,loss/con,0.034425683319568634
4007,loss/dyn,4.328850746154785
4007,loss/policy,-0.21794548630714417
4007,loss/rep,4.328850746154785
4007,loss/repval,4.401584625244141
4007,loss/rew,1.9513130187988281
4007,loss/value,3.58768892288208
4007,nan_skipped,0.0
4007,opt_loss,21.58940887451172
4007,params/encoder_l2,55.423133850097656
4007,total_loss,21.58940887451172
4007,perf/fps_cumulative,7.56406357290478
4007,perf/fps_interval,14.347367189636358
4007,perf/ms_per_step_interval,69.69919893890619
4255,latent/posterior_entropy,2.303764820098877
4255,latent/prior_entropy,2.4502320289611816
4255,loss/barlow,205.40908813476562
4255,loss/con,0.010868811048567295
4255,loss/dyn,3.8570454120635986
4255,loss/policy,-0.21928994357585907
4255,loss/rep,3.8570454120635986
4255,loss/repval,3.9973812103271484
4255,loss/rew,1.5711219310760498
4255,loss/value,2.976823329925537
4255,nan_skipped,0.0
4255,opt_loss,20.051942825317383
4255,params/encoder_l2,55.42414474487305
4255,total_loss,20.051942825317383
4255,perf/fps_cumulative,7.774742768460717
4255,perf/fps_interval,14.139359334356241
4255,perf/ms_per_step_interval,70.72456229117608
4499,episode/count,9
4499,episode/goal,chair
4499,episode/scene,u5atqC7vRCY
4499,episode/reward,-3.5502858161925994
4499,episode/success,0.0
4499,episode/spl,0.0
4499,episode/softspl,0.16463205362454436
4499,episode/dtg,7.356069087982178
4499,metrics/sr_last,0.0
4499,metrics/reward,-4.645455757776842
4499,metrics/reward_mean,-4.645455757776843
4499,metrics/sr,0.0
4499,metrics/sr_mean,0.0
4499,metrics/spl,0.0
4499,metrics/spl_mean,0.0
4499,metrics/softspl,0.09446369625821198
4499,metrics/softspl_mean,0.09446369625821198
4499,metrics/dtg,4.4736311700609
4499,metrics/dtg_mean,4.4736311700609
4499,goal/chair/sr,0.0
4499,goal/chair/spl,0.0
4499,goal/chair/reward,-4.645455757776842
4499,episode/steps,500
4499,episode/path_length,2.356961280024052
4499,episode/shortest_path,8.80578327178955
4499,episode/path_ratio,0.2676606052268942
4499,episode_reset,1
4499,action/stop_pct,0.258
4499,action/forward_pct,0.274
4499,action/left_pct,0.228
4499,action/right_pct,0.24
4503,latent/posterior_entropy,2.2833359241485596
4503,latent/prior_entropy,2.4374992847442627
4503,loss/barlow,208.3226318359375
4503,loss/con,0.009707286953926086
4503,loss/dyn,3.8670668601989746
4503,loss/policy,-0.2142309546470642
4503,loss/rep,3.8670668601989746
4503,loss/repval,3.509007692337036
4503,loss/rew,1.223332166671753
4503,loss/value,2.4506726264953613
4503,nan_skipped,0.0
4503,opt_loss,19.192089080810547
4503,params/encoder_l2,55.425086975097656
4503,total_loss,19.192089080810547
4503,perf/fps_cumulative,7.972404296998774
4503,perf/fps_interval,14.143012800628663
4503,perf/ms_per_step_interval,70.7062925061872
4751,latent/posterior_entropy,2.291264533996582
4751,latent/prior_entropy,2.4207167625427246
4751,loss/barlow,201.87918090820312
4751,loss/con,0.01021842285990715
4751,loss/dyn,3.754941463470459
4751,loss/policy,-0.2074410617351532
4751,loss/rep,3.754941463470459
4751,loss/repval,3.3595261573791504
4751,loss/rew,0.9635540843009949
4751,loss/value,2.0378332138061523
4751,nan_skipped,0.0
4751,opt_loss,18.03641700744629
4751,params/encoder_l2,55.42622375488281
4751,total_loss,18.03641700744629
4751,perf/fps_cumulative,8.1554451147613
4751,perf/fps_interval,13.98804890830911
4751,perf/ms_per_step_interval,71.48959848188585
4999,episode/count,10
4999,episode/goal,chair
4999,episode/scene,u5atqC7vRCY
4999,episode/reward,-3.8678877353667813
4999,episode/success,0.0
4999,episode/spl,0.0
4999,episode/softspl,0.22261793426152812
4999,episode/dtg,3.3910601139068604
4999,metrics/sr_last,0.0
4999,metrics/reward,-4.567698955535836
4999,metrics/reward_mean,-4.567698955535837
4999,metrics/sr,0.0
4999,metrics/sr_mean,0.0
4999,metrics/spl,0.0
4999,metrics/spl_mean,0.0
4999,metrics/softspl,0.10727912005854359
4999,metrics/softspl_mean,0.10727912005854359
4999,metrics/dtg,4.365374064445495
4999,metrics/dtg_mean,4.365374064445495
4999,goal/chair/sr,0.0
4999,goal/chair/spl,0.0
4999,goal/chair/reward,-4.567698955535836
4999,episode/steps,500
4999,episode/path_length,5.085449509666148
4999,episode/shortest_path,4.523172378540039
4999,episode/path_ratio,1.1243103477094536
4999,episode_reset,1
4999,action/stop_pct,0.238
4999,action/forward_pct,0.236
4999,action/left_pct,0.274
4999,action/right_pct,0.252
5007,latent/posterior_entropy,2.278550148010254
5007,latent/prior_entropy,2.4243640899658203
5007,loss/barlow,198.26556396484375
5007,loss/con,0.01972479373216629
5007,loss/dyn,4.0669474601745605
5007,loss/policy,-0.19724762439727783
5007,loss/rep,4.0669474601745605
5007,loss/repval,3.199526309967041
5007,loss/rew,0.7835288047790527
5007,loss/value,1.7175846099853516
5007,nan_skipped,0.0
5007,opt_loss,17.67037010192871
5007,params/encoder_l2,55.42776107788086
5007,total_loss,17.67037010192871
5007,perf/fps_cumulative,8.340066193495035
5007,perf/fps_interval,14.384721478122136
5007,perf/ms_per_step_interval,69.51820384711027
