step,metric,value
7,latent/posterior_entropy,2.6163480281829834
7,latent/prior_entropy,2.6125969886779785
7,loss/barlow,1021.1461181640625
7,loss/con,0.8067206144332886
7,loss/dyn,10.01248550415039
7,loss/policy,-0.008178023621439934
7,loss/rep,10.01248550415039
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6537854075431824
7,nan_skipped,0.0
7,opt_loss,72.3827896118164
7,params/encoder_l2,55.402767181396484
7,total_loss,72.3827896118164
7,perf/fps_cumulative,0.055861789596443175
7,perf/fps_interval,0.055861789596443175
7,perf/ms_per_step_interval,17901.324093341827
255,latent/posterior_entropy,2.641510009765625
255,latent/prior_entropy,2.712489128112793
255,loss/barlow,1017.6002807617188
255,loss/con,0.763770341873169
255,loss/dyn,4.793386459350586
255,loss/policy,-0.00842049065977335
255,loss/rep,4.793386459350586
255,loss/repval,11.05273151397705
255,loss/rew,5.537880897521973
255,loss/value,0.6727194786071777
255,nan_skipped,0.0
255,opt_loss,66.43450927734375
255,params/encoder_l2,55.40280532836914
255,total_loss,66.43450927734375
255,perf/fps_cumulative,0.9658780635087882
255,perf/fps_interval,2.03556968859645
255,perf/ms_per_step_interval,491.26296466396695
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.29
503,latent/posterior_entropy,2.6500158309936523
503,latent/prior_entropy,2.742032289505005
503,loss/barlow,993.25634765625
503,loss/con,0.5953526496887207
503,loss/dyn,3.3650829792022705
503,loss/policy,-0.011643030680716038
503,loss/rep,3.3650829792022705
503,loss/repval,11.023577690124512
503,loss/rew,5.519959926605225
503,loss/value,0.9268955588340759
503,nan_skipped,0.0
503,opt_loss,63.702049255371094
503,params/encoder_l2,55.4032096862793
503,total_loss,63.702049255371094
503,perf/fps_cumulative,1.7849882639889163
503,perf/fps_interval,14.326159593892388
503,perf/ms_per_step_interval,69.80237749315077
751,latent/posterior_entropy,2.5382938385009766
751,latent/prior_entropy,2.7351174354553223
751,loss/barlow,943.9420166015625
751,loss/con,0.32560595870018005
751,loss/dyn,6.322129726409912
751,loss/policy,-0.02352134697139263
751,loss/rep,6.322129726409912
751,loss/repval,10.93010425567627
751,loss/rew,5.482546806335449
751,loss/value,1.858283281326294
751,nan_skipped,0.0
751,opt_loss,65.07339477539062
751,params/encoder_l2,55.404457092285156
751,total_loss,65.07339477539062
