step,metric,value
7,latent/posterior_entropy,2.590280771255493
7,latent/prior_entropy,2.6087307929992676
7,loss/barlow,1027.280029296875
7,loss/con,0.5824971199035645
7,loss/dyn,11.157768249511719
7,loss/policy,-0.01192215271294117
7,loss/rep,11.157768249511719
7,loss/repval,11.071532249450684
7,loss/rew,5.541263580322266
7,loss/value,0.9531060457229614
7,nan_skipped,0.0
7,opt_loss,74.0239486694336
7,params/encoder_l2,55.41162872314453
7,total_loss,74.0239486694336
7,perf/fps_cumulative,0.057441793025856995
7,perf/fps_interval,0.057441793025856995
7,perf/ms_per_step_interval,17408.92732143402
255,latent/posterior_entropy,2.6231722831726074
255,latent/prior_entropy,2.7122557163238525
255,loss/barlow,1023.3076782226562
255,loss/con,0.5451770424842834
255,loss/dyn,5.10526180267334
255,loss/policy,-0.013225861825048923
255,loss/rep,5.10526180267334
255,loss/repval,11.053362846374512
255,loss/rew,5.538051605224609
255,loss/value,1.0567824840545654
255,nan_skipped,0.0
255,opt_loss,67.22396850585938
255,params/encoder_l2,55.4116325378418
255,total_loss,67.22396850585938
255,perf/fps_cumulative,0.9861749933628884
255,perf/fps_interval,2.0612147785160224
255,perf/ms_per_step_interval,485.1508005972832
499,episode/count,1
499,episode/goal,chair
499,episode/scene,wPLokgvCnuk
499,episode/reward,-6.169500827789252
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,4.893380641937256
499,metrics/sr_last,0.0
499,metrics/reward,-6.169500827789252
499,metrics/reward_mean,-6.169500827789252
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,4.893380641937256
499,metrics/dtg_mean,4.893380641937256
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-6.169500827789252
499,episode/steps,500
499,episode/path_length,4.63515492528677
499,episode/shortest_path,3.723879814147949
499,episode/path_ratio,1.2447112035347272
499,episode_reset,1
499,action/stop_pct,0.28
499,action/forward_pct,0.234
499,action/left_pct,0.246
499,action/right_pct,0.24
503,latent/posterior_entropy,2.666390895843506
503,latent/prior_entropy,2.7404212951660156
503,loss/barlow,1009.9821166992188
503,loss/con,0.4068654775619507
503,loss/dyn,2.7415621280670166
503,loss/policy,-0.018432512879371643
503,loss/rep,2.7415621280670166
503,loss/repval,11.015470504760742
503,loss/rew,5.520899772644043
503,loss/value,1.46878182888031
503,nan_skipped,0.0
503,opt_loss,64.19757843017578
503,params/encoder_l2,55.411861419677734
503,total_loss,64.19757843017578
503,perf/fps_cumulative,1.8209523172312725
503,perf/fps_interval,14.427466434200683
503,perf/ms_per_step_interval,69.31223888551035
751,latent/posterior_entropy,2.627213478088379
751,latent/prior_entropy,2.7382638454437256
751,loss/barlow,982.1065673828125
751,loss/con,0.23405002057552338
751,loss/dyn,3.7239747047424316
751,loss/policy,-0.033991795033216476
