step,metric,value
7,latent/posterior_entropy,2.6125285625457764
7,latent/prior_entropy,2.61141300201416
7,loss/barlow,1023.6473999023438
7,loss/con,0.8153636455535889
7,loss/dyn,9.734161376953125
7,loss/policy,-0.0080493725836277
7,loss/rep,9.734161376953125
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6435005068778992
7,nan_skipped,0.0
7,opt_loss,72.20018768310547
7,params/encoder_l2,55.41512680053711
7,total_loss,72.20018768310547
7,perf/fps_cumulative,0.05420752332061507
7,perf/fps_interval,0.05420752332061507
7,perf/ms_per_step_interval,18447.6238489151
255,latent/posterior_entropy,2.6254987716674805
255,latent/prior_entropy,2.706860065460205
255,loss/barlow,1020.0228881835938
255,loss/con,0.773297905921936
255,loss/dyn,5.042422294616699
255,loss/policy,-0.008446899242699146
255,loss/rep,5.042422294616699
255,loss/repval,11.052936553955078
255,loss/rew,5.537909507751465
255,loss/value,0.6748358607292175
255,nan_skipped,0.0
255,opt_loss,66.8412857055664
255,params/encoder_l2,55.41511535644531
255,total_loss,66.8412857055664
255,perf/fps_cumulative,0.9650839625755646
255,perf/fps_interval,2.1073937466625607
255,perf/ms_per_step_interval,474.51977191432826
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.246
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.29
503,latent/posterior_entropy,2.653202772140503
503,latent/prior_entropy,2.736732006072998
503,loss/barlow,1007.0382080078125
503,loss/con,0.5576751232147217
503,loss/dyn,3.1330270767211914
503,loss/policy,-0.01287856325507164
503,loss/rep,3.1330270767211914
503,loss/repval,11.02448844909668
503,loss/rew,5.519898414611816
503,loss/value,1.025278925895691
503,nan_skipped,0.0
503,opt_loss,64.19556427001953
503,params/encoder_l2,55.41524124145508
503,total_loss,64.19556427001953
503,perf/fps_cumulative,1.7804587214419376
503,perf/fps_interval,13.923805395099594
503,perf/ms_per_step_interval,71.81944674061191
751,latent/posterior_entropy,2.6257524490356445
751,latent/prior_entropy,2.73922061920166
751,loss/barlow,979.587158203125
751,loss/con,0.2829947769641876
751,loss/dyn,3.692401170730591
751,loss/policy,-0.028300413861870766
751,loss/rep,3.692401170730591
751,loss/repval,10.931790351867676
751,loss/rew,5.480968475341797
751,loss/value,2.2356817722320557
751,nan_skipped,0.0
751,opt_loss,64.29188537597656
751,params/encoder_l2,55.41586685180664
751,total_loss,64.29188537597656
751,perf/fps_cumulative,2.5002270893551795
751,perf/fps_interval,14.011646106304665
751,perf/ms_per_step_interval,71.36920190626574
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-3.8665578365325555
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.24693248522378963
999,episode/dtg,3.4566471576690674
999,metrics/sr_last,0.0
999,metrics/reward,-4.450828194618175
999,metrics/reward_mean,-4.450828194618175
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.12346624261189482
999,metrics/softspl_mean,0.12346624261189482
999,metrics/dtg,3.5809996128082275
999,metrics/dtg_mean,3.5809996128082275
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-4.450828194618175
999,episode/steps,500
999,episode/path_length,1.8710896112024784
999,episode/shortest_path,4.590089321136475
999,episode/path_ratio,0.4076368628790015
999,episode_reset,1
999,action/stop_pct,0.294
999,action/forward_pct,0.222
999,action/left_pct,0.258
999,action/right_pct,0.226
1007,latent/posterior_entropy,2.5117321014404297
1007,latent/prior_entropy,2.7290074825286865
1007,loss/barlow,915.835205078125
1007,loss/con,0.15567681193351746
1007,loss/dyn,6.8981709480285645
1007,loss/policy,-0.05197615176439285
1007,loss/rep,6.8981709480285645
1007,loss/repval,10.794258117675781
1007,loss/rew,5.404365062713623
1007,loss/value,4.042630672454834
1007,nan_skipped,0.0
1007,opt_loss,66.1687240600586
1007,params/encoder_l2,55.41709899902344
1007,total_loss,66.1687240600586
1007,perf/fps_cumulative,3.161704897033228
1007,perf/fps_interval,14.188599940356552
1007,perf/ms_per_step_interval,70.47911733388901
1255,latent/posterior_entropy,2.4348227977752686
1255,latent/prior_entropy,2.7105629444122314
1255,loss/barlow,836.8607788085938
1255,loss/con,0.1355726718902588
1255,loss/dyn,8.2864990234375
1255,loss/policy,-0.0584859624505043
1255,loss/rep,8.2864990234375
1255,loss/repval,10.573747634887695
1255,loss/rew,5.293022632598877
1255,loss/value,4.443971157073975
1255,nan_skipped,0.0
1255,opt_loss,63.944393157958984
1255,params/encoder_l2,55.41832733154297
1255,total_loss,63.944393157958984
1255,perf/fps_cumulative,3.732760455669042
1255,perf/fps_interval,14.03916282871586
1255,perf/ms_per_step_interval,71.22931845726505
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-5.161313772201472
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.0
1499,episode/dtg,3.7435455322265625
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.687656720479274
1499,metrics/reward_mean,-4.687656720479274
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.08231082840792987
1499,metrics/softspl_mean,0.08231082840792987
1499,metrics/dtg,3.6351815859476724
1499,metrics/dtg_mean,3.6351815859476724
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.687656720479274
1499,episode/steps,500
1499,episode/path_length,0.20125915901735425
1499,episode/shortest_path,3.5822317600250244
1499,episode/path_ratio,0.05618261812740678
1499,episode_reset,1
1499,action/stop_pct,0.228
1499,action/forward_pct,0.254
1499,action/left_pct,0.276
1499,action/right_pct,0.242
1503,latent/posterior_entropy,2.3964600563049316
1503,latent/prior_entropy,2.691457748413086
1503,loss/barlow,635.8037719726562
1503,loss/con,0.14321354031562805
1503,loss/dyn,8.839492797851562
1503,loss/policy,-0.05949743464589119
1503,loss/rep,8.839492797851562
1503,loss/repval,10.26832389831543
1503,loss/rew,5.155208587646484
1503,loss/value,4.368849754333496
1503,nan_skipped,0.0
1503,opt_loss,54.201908111572266
1503,params/encoder_l2,55.41908645629883
1503,total_loss,54.201908111572266
1503,perf/fps_cumulative,4.2531628504752295
1503,perf/fps_interval,14.469934729398021
1503,perf/ms_per_step_interval,69.1088120783529
1751,latent/posterior_entropy,2.3696587085723877
1751,latent/prior_entropy,2.6783881187438965
1751,loss/barlow,549.069580078125
1751,loss/con,0.09003626555204391
1751,loss/dyn,8.822664260864258
1751,loss/policy,-0.07636519521474838
1751,loss/rep,8.822664260864258
1751,loss/repval,9.90936279296875
1751,loss/rew,4.954553604125977
1751,loss/value,5.337850570678711
1751,nan_skipped,0.0
1751,opt_loss,50.437286376953125
1751,params/encoder_l2,55.41983413696289
1751,total_loss,50.437286376953125
1751,perf/fps_cumulative,4.725589720419632
1751,perf/fps_interval,14.479055677961187
1751,perf/ms_per_step_interval,69.06527761490113
1999,episode/count,4
1999,episode/goal,chair
1999,episode/scene,u5atqC7vRCY
1999,episode/reward,-2.7816705703735116
1999,episode/success,0.0
1999,episode/spl,0.0
1999,episode/softspl,0.4169019643126626
1999,episode/dtg,3.102656364440918
1999,metrics/sr_last,0.0
1999,metrics/reward,-4.211160182952834
1999,metrics/reward_mean,-4.211160182952834
1999,metrics/sr,0.0
1999,metrics/sr_mean,0.0
1999,metrics/spl,0.0
1999,metrics/spl_mean,0.0
1999,metrics/softspl,0.16595861238411305
1999,metrics/softspl_mean,0.16595861238411305
1999,metrics/dtg,3.502050280570984
1999,metrics/dtg_mean,3.502050280570984
1999,goal/chair/sr,0.0
1999,goal/chair/spl,0.0
1999,goal/chair/reward,-4.211160182952834
1999,episode/steps,500
1999,episode/path_length,4.9385059755295515
1999,episode/shortest_path,5.320985794067383
1999,episode/path_ratio,0.9281186168615079
1999,episode_reset,1
1999,action/stop_pct,0.2
1999,action/forward_pct,0.254
1999,action/left_pct,0.278
1999,action/right_pct,0.268
2007,latent/posterior_entropy,2.343445301055908
2007,latent/prior_entropy,2.652824878692627
2007,loss/barlow,462.4551086425781
2007,loss/con,0.06590280681848526
2007,loss/dyn,8.710992813110352
2007,loss/policy,-0.0927804708480835
2007,loss/rep,8.710992813110352
2007,loss/repval,9.420187950134277
2007,loss/rew,4.711400985717773
2007,loss/value,6.081655979156494
2007,nan_skipped,0.0
2007,opt_loss,46.297088623046875
2007,params/encoder_l2,55.42073440551758
2007,total_loss,46.297088623046875
2007,perf/fps_cumulative,5.174357895581186
2007,perf/fps_interval,14.780518523947196
2007,perf/ms_per_step_interval,67.65662506222725
2255,latent/posterior_entropy,2.3184306621551514
2255,latent/prior_entropy,2.619941473007202
2255,loss/barlow,360.22161865234375
2255,loss/con,0.058736056089401245
2255,loss/dyn,7.912909507751465
2255,loss/policy,-0.10526670515537262
2255,loss/rep,7.912909507751465
2255,loss/repval,8.890813827514648
2255,loss/rew,4.447490692138672
2255,loss/value,6.374032974243164
2255,nan_skipped,0.0
2255,opt_loss,40.15752029418945
2255,params/encoder_l2,55.42184829711914
2255,total_loss,40.15752029418945
2255,perf/fps_cumulative,5.568830430242862
2255,perf/fps_interval,14.550131356322979
2255,perf/ms_per_step_interval,68.72790186635909
2499,episode/count,5
2499,episode/goal,chair
2499,episode/scene,u5atqC7vRCY
2499,episode/reward,-5.306378602981498
2499,episode/success,0.0
2499,episode/spl,0.0
2499,episode/softspl,0.0
2499,episode/dtg,2.7134647369384766
2499,metrics/sr_last,0.0
2499,metrics/reward,-4.430203866958567
2499,metrics/reward_mean,-4.430203866958567
2499,metrics/sr,0.0
2499,metrics/sr_mean,0.0
2499,metrics/spl,0.0
2499,metrics/spl_mean,0.0
2499,metrics/softspl,0.13276688990729044
2499,metrics/softspl_mean,0.13276688990729044
2499,metrics/dtg,3.3443331718444824
2499,metrics/dtg_mean,3.3443331718444824
2499,goal/chair/sr,0.0
2499,goal/chair/spl,0.0
2499,goal/chair/reward,-4.430203866958567
2499,episode/steps,500
2499,episode/path_length,1.9765653759241104
2499,episode/shortest_path,2.407086133956909
2499,episode/path_ratio,0.8211444318674698
2499,episode_reset,1
2499,action/stop_pct,0.258
2499,action/forward_pct,0.236
