step,metric,value
7,latent/posterior_entropy,2.6265153884887695
7,latent/prior_entropy,2.6139943599700928
7,loss/barlow,1029.39306640625
7,loss/con,0.8316455483436584
7,loss/dyn,10.113235473632812
7,loss/policy,-0.007949480786919594
7,loss/rep,10.113235473632812
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6355146169662476
7,nan_skipped,0.0
7,opt_loss,72.91284942626953
7,params/encoder_l2,95.9929428100586
7,total_loss,72.91284942626953
7,perf/fps_cumulative,0.05725807408311028
7,perf/fps_interval,0.05725807408311028
7,perf/ms_per_step_interval,17464.78581428528
255,latent/posterior_entropy,2.6652350425720215
255,latent/prior_entropy,2.712167263031006
255,loss/barlow,1020.1141357421875
255,loss/con,0.7582411766052246
255,loss/dyn,4.1022467613220215
255,loss/policy,-0.008448692969977856
255,loss/rep,4.1022467613220215
255,loss/repval,11.052942276000977
255,loss/rew,5.537936210632324
255,loss/value,0.6749759912490845
255,nan_skipped,0.0
255,opt_loss,65.79676055908203
255,params/encoder_l2,95.99297332763672
255,total_loss,65.79676055908203
255,perf/fps_cumulative,0.9957756330323503
255,perf/fps_interval,2.1130167598793537
255,perf/ms_per_step_interval,473.25701290561307
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.248
499,action/forward_pct,0.228
499,action/left_pct,0.236
499,action/right_pct,0.288
503,latent/posterior_entropy,2.6560962200164795
503,latent/prior_entropy,2.743143081665039
503,loss/barlow,985.5487060546875
503,loss/con,0.5492553114891052
503,loss/dyn,3.219761371612549
503,loss/policy,-0.012474755756556988
503,loss/rep,3.219761371612549
503,loss/repval,11.024048805236816
503,loss/rew,5.520079135894775
503,loss/value,0.9931007623672485
503,nan_skipped,0.0
503,opt_loss,63.17634582519531
503,params/encoder_l2,95.99343872070312
503,total_loss,63.17634582519531
503,perf/fps_cumulative,1.8389622925223537
503,perf/fps_interval,14.604055719823144
503,perf/ms_per_step_interval,68.47412932303644
751,latent/posterior_entropy,2.493823528289795
751,latent/prior_entropy,2.728649139404297
751,loss/barlow,932.3448486328125
751,loss/con,0.3092121481895447
751,loss/dyn,7.65741491317749
751,loss/policy,-0.02511904388666153
751,loss/rep,7.65741491317749
751,loss/repval,10.932222366333008
751,loss/rew,5.481720924377441
751,loss/value,1.9845753908157349
751,nan_skipped,0.0
751,opt_loss,66.0704574584961
751,params/encoder_l2,95.99464416503906
751,total_loss,66.0704574584961
751,perf/fps_cumulative,2.585222010805763
751,perf/fps_interval,14.747421778596351
751,perf/ms_per_step_interval,67.8084627274544
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-3.8665578365325555
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.24693248522378963
999,episode/dtg,3.4566471576690674
999,metrics/sr_last,0.0
999,metrics/reward,-4.450828194618175
999,metrics/reward_mean,-4.450828194618175
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.12346624261189482
999,metrics/softspl_mean,0.12346624261189482
999,metrics/dtg,3.5809996128082275
999,metrics/dtg_mean,3.5809996128082275
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-4.450828194618175
999,episode/steps,500
999,episode/path_length,1.8710896112024784
999,episode/shortest_path,4.590089321136475
999,episode/path_ratio,0.4076368628790015
999,episode_reset,1
999,action/stop_pct,0.294
999,action/forward_pct,0.224
999,action/left_pct,0.258
999,action/right_pct,0.224
1007,latent/posterior_entropy,2.4151721000671387
1007,latent/prior_entropy,2.7183990478515625
1007,loss/barlow,877.0529174804688
1007,loss/con,0.18912404775619507
1007,loss/dyn,9.475595474243164
1007,loss/policy,-0.04158381000161171
1007,loss/rep,9.475595474243164
1007,loss/repval,10.800485610961914
1007,loss/rew,5.409033298492432
1007,loss/value,3.2382733821868896
1007,nan_skipped,0.0
1007,opt_loss,66.31079864501953
1007,params/encoder_l2,95.99594116210938
1007,total_loss,66.31079864501953
1007,perf/fps_cumulative,3.2725538725105405
1007,perf/fps_interval,14.94261288789892
1007,perf/ms_per_step_interval,66.92270003259182
1255,latent/posterior_entropy,2.36307430267334
1255,latent/prior_entropy,2.682065963745117
1255,loss/barlow,782.06787109375
1255,loss/con,0.176845520734787
1255,loss/dyn,10.053618431091309
1255,loss/policy,-0.04583770036697388
1255,loss/rep,10.053618431091309
1255,loss/repval,10.588199615478516
1255,loss/rew,5.303650856018066
1255,loss/value,3.492443561553955
1255,nan_skipped,0.0
1255,opt_loss,62.265933990478516
1255,params/encoder_l2,95.99717712402344
1255,total_loss,62.265933990478516
1255,perf/fps_cumulative,3.8643609599572444
1255,perf/fps_interval,14.583879141836126
1255,perf/ms_per_step_interval,68.56886225361978
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-5.1599924564360915
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.0
1499,episode/dtg,3.7422242164611816
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.687216281890814
1499,metrics/reward_mean,-4.687216281890814
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.08231082840792987
1499,metrics/softspl_mean,0.08231082840792987
1499,metrics/dtg,3.6347411473592124
1499,metrics/dtg_mean,3.6347411473592124
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.687216281890814
1499,episode/steps,500
1499,episode/path_length,0.20693564182147384
1499,episode/shortest_path,3.5822317600250244
1499,episode/path_ratio,0.057767240001252246
1499,episode_reset,1
1499,action/stop_pct,0.23
1499,action/forward_pct,0.254
1499,action/left_pct,0.276
1499,action/right_pct,0.24
1503,latent/posterior_entropy,2.3265585899353027
1503,latent/prior_entropy,2.663450241088867
1503,loss/barlow,606.0018310546875
1503,loss/con,0.15011656284332275
1503,loss/dyn,10.024267196655273
1503,loss/policy,-0.05354447662830353
1503,loss/rep,10.024267196655273
1503,loss/repval,10.280960083007812
1503,loss/rew,5.160531997680664
1503,loss/value,3.945219039916992
1503,nan_skipped,0.0
1503,opt_loss,53.6134033203125
