step,metric,value
7,latent/posterior_entropy,2.5902552604675293
7,latent/prior_entropy,2.608525037765503
7,loss/barlow,1027.0882568359375
7,loss/con,0.58161461353302
7,loss/dyn,11.1627197265625
7,loss/policy,-0.01196335256099701
7,loss/rep,11.1627197265625
7,loss/repval,11.071532249450684
7,loss/rew,5.541263580322266
7,loss/value,0.9563997387886047
7,nan_skipped,0.0
7,opt_loss,74.02217102050781
7,params/encoder_l2,55.41162872314453
7,total_loss,74.02217102050781
7,perf/fps_cumulative,0.057652089981970626
7,perf/fps_interval,0.057652089981970626
7,perf/ms_per_step_interval,17345.424950122833
255,latent/posterior_entropy,2.6232430934906006
255,latent/prior_entropy,2.712386131286621
255,loss/barlow,1022.8937377929688
255,loss/con,0.543603241443634
255,loss/dyn,5.095529079437256
255,loss/policy,-0.01323677971959114
255,loss/rep,5.095529079437256
255,loss/repval,11.05337142944336
255,loss/rew,5.538052558898926
255,loss/value,1.0576571226119995
255,nan_skipped,0.0
255,opt_loss,67.19185638427734
255,params/encoder_l2,55.41163635253906
255,total_loss,67.19185638427734
255,perf/fps_cumulative,1.0119406065063177
255,perf/fps_interval,2.1713268950574407
255,perf/ms_per_step_interval,460.54788078031237
499,episode/count,1
499,episode/goal,chair
499,episode/scene,wPLokgvCnuk
499,episode/reward,-7.965507984161317
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,6.689387798309326
499,metrics/sr_last,0.0
499,metrics/reward,-7.965507984161317
499,metrics/reward_mean,-7.965507984161317
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,6.689387798309326
499,metrics/dtg_mean,6.689387798309326
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-7.965507984161317
499,episode/steps,500
499,episode/path_length,7.524497427046299
499,episode/shortest_path,3.723879814147949
499,episode/path_ratio,2.0206069482851876
