step,metric,value
7,latent/posterior_entropy,2.644965648651123
7,latent/prior_entropy,2.615095615386963
7,loss/barlow,1029.5208740234375
7,loss/con,0.8228013515472412
7,loss/dyn,8.543905258178711
7,loss/policy,-0.008047142066061497
7,loss/rep,8.543905258178711
7,loss/repval,11.06053638458252
7,loss/rew,5.541263580322266
7,loss/value,0.6433221101760864
7,nan_skipped,0.0
7,opt_loss,71.19184112548828
7,params/encoder_l2,55.41938781738281
7,total_loss,71.19184112548828
7,perf/fps_cumulative,0.05645819177077748
7,perf/fps_interval,0.05645819177077748
7,perf/ms_per_step_interval,17712.221533060074
255,latent/posterior_entropy,2.6655690670013428
255,latent/prior_entropy,2.7162914276123047
255,loss/barlow,1021.799072265625
255,loss/con,0.7641614675521851
255,loss/dyn,3.9723541736602783
255,loss/policy,-0.008577867411077023
255,loss/rep,3.9723541736602783
255,loss/repval,11.052931785583496
255,loss/rew,5.537893295288086
255,loss/value,0.6852944493293762
255,nan_skipped,0.0
255,opt_loss,65.75419616699219
255,params/encoder_l2,55.419395446777344
255,total_loss,65.75419616699219
255,perf/fps_cumulative,0.99405933306168
255,perf/fps_interval,2.1410294900150433
255,perf/ms_per_step_interval,467.0650286059226
499,episode/count,1
499,episode/goal,chair
499,episode/scene,u5atqC7vRCY
499,episode/reward,-5.035098552703794
499,episode/success,0.0
499,episode/spl,0.0
499,episode/softspl,0.0
499,episode/dtg,3.7053520679473877
499,metrics/sr_last,0.0
499,metrics/reward,-5.035098552703794
499,metrics/reward_mean,-5.035098552703794
499,metrics/sr,0.0
499,metrics/sr_mean,0.0
499,metrics/spl,0.0
499,metrics/spl_mean,0.0
499,metrics/softspl,0.0
499,metrics/softspl_mean,0.0
499,metrics/dtg,3.7053520679473877
499,metrics/dtg_mean,3.7053520679473877
499,goal/chair/sr,0.0
499,goal/chair/spl,0.0
499,goal/chair/reward,-5.035098552703794
499,episode/steps,500
499,episode/path_length,0.14565367996692657
499,episode/shortest_path,3.6702535152435303
499,episode/path_ratio,0.039684909873933354
499,episode_reset,1
499,action/stop_pct,0.244
499,action/forward_pct,0.228
499,action/left_pct,0.238
499,action/right_pct,0.29
503,latent/posterior_entropy,2.6878204345703125
503,latent/prior_entropy,2.746067523956299
503,loss/barlow,1009.5585327148438
503,loss/con,0.544022798538208
503,loss/dyn,2.291109561920166
503,loss/policy,-0.013012822717428207
503,loss/rep,2.291109561920166
503,loss/repval,11.02447509765625
503,loss/rew,5.51993465423584
503,loss/value,1.03594970703125
503,nan_skipped,0.0
503,opt_loss,63.39238739013672
503,params/encoder_l2,55.419586181640625
503,total_loss,63.39238739013672
503,perf/fps_cumulative,1.8367607943588438
503,perf/fps_interval,14.703962920119732
503,perf/ms_per_step_interval,68.00887661595499
751,latent/posterior_entropy,2.6420397758483887
751,latent/prior_entropy,2.7464845180511475
751,loss/barlow,983.9981689453125
751,loss/con,0.2623997926712036
751,loss/dyn,3.495345115661621
751,loss/policy,-0.02972264401614666
751,loss/rep,3.495345115661621
751,loss/repval,10.931821823120117
751,loss/rew,5.480842590332031
751,loss/value,2.3477864265441895
751,nan_skipped,0.0
751,opt_loss,64.3856430053711
751,params/encoder_l2,55.42030715942383
751,total_loss,64.3856430053711
751,perf/fps_cumulative,2.5824651619047296
751,perf/fps_interval,14.763192890123626
751,perf/ms_per_step_interval,67.73602481811277
999,episode/count,2
999,episode/goal,chair
999,episode/scene,u5atqC7vRCY
999,episode/reward,-3.8665578365325555
999,episode/success,0.0
999,episode/spl,0.0
999,episode/softspl,0.24693248522378963
999,episode/dtg,3.4566471576690674
999,metrics/sr_last,0.0
999,metrics/reward,-4.450828194618175
999,metrics/reward_mean,-4.450828194618175
999,metrics/sr,0.0
999,metrics/sr_mean,0.0
999,metrics/spl,0.0
999,metrics/spl_mean,0.0
999,metrics/softspl,0.12346624261189482
999,metrics/softspl_mean,0.12346624261189482
999,metrics/dtg,3.5809996128082275
999,metrics/dtg_mean,3.5809996128082275
999,goal/chair/sr,0.0
999,goal/chair/spl,0.0
999,goal/chair/reward,-4.450828194618175
999,episode/steps,500
999,episode/path_length,1.8710896112024784
999,episode/shortest_path,4.590089321136475
999,episode/path_ratio,0.4076368628790015
999,episode_reset,1
999,action/stop_pct,0.292
999,action/forward_pct,0.226
999,action/left_pct,0.258
999,action/right_pct,0.224
1007,latent/posterior_entropy,2.4822750091552734
1007,latent/prior_entropy,2.7279419898986816
1007,loss/barlow,910.3460693359375
1007,loss/con,0.1500588357448578
1007,loss/dyn,7.502848148345947
1007,loss/policy,-0.05314931273460388
1007,loss/rep,7.502848148345947
1007,loss/repval,10.794120788574219
1007,loss/rew,5.402819633483887
1007,loss/value,4.1334638595581055
1007,nan_skipped,0.0
1007,opt_loss,66.6418685913086
1007,params/encoder_l2,55.421852111816406
1007,total_loss,66.6418685913086
1007,perf/fps_cumulative,3.266107626230026
1007,perf/fps_interval,14.687649338965938
1007,perf/ms_per_step_interval,68.08441411703825
1255,latent/posterior_entropy,2.4249379634857178
1255,latent/prior_entropy,2.6969873905181885
1255,loss/barlow,822.67333984375
1255,loss/con,0.15514403581619263
1255,loss/dyn,8.174168586730957
1255,loss/policy,-0.05283951386809349
1255,loss/rep,8.174168586730957
1255,loss/repval,10.57796859741211
1255,loss/rew,5.297746658325195
1255,loss/value,4.017545700073242
1255,nan_skipped,0.0
1255,opt_loss,62.71623611450195
1255,params/encoder_l2,55.42342758178711
1255,total_loss,62.71623611450195
1255,perf/fps_cumulative,3.85687188590596
1255,perf/fps_interval,14.564022711918025
1255,perf/ms_per_step_interval,68.66234829348903
1499,episode/count,3
1499,episode/goal,chair
1499,episode/scene,u5atqC7vRCY
1499,episode/reward,-5.1599924564360915
1499,episode/success,0.0
1499,episode/spl,0.0
1499,episode/softspl,0.0
1499,episode/dtg,3.7422242164611816
1499,metrics/sr_last,0.0
1499,metrics/reward,-4.687216281890814
1499,metrics/reward_mean,-4.687216281890814
1499,metrics/sr,0.0
1499,metrics/sr_mean,0.0
1499,metrics/spl,0.0
1499,metrics/spl_mean,0.0
1499,metrics/softspl,0.08231082840792987
1499,metrics/softspl_mean,0.08231082840792987
1499,metrics/dtg,3.6347411473592124
1499,metrics/dtg_mean,3.6347411473592124
1499,goal/chair/sr,0.0
1499,goal/chair/spl,0.0
1499,goal/chair/reward,-4.687216281890814
1499,episode/steps,500
1499,episode/path_length,0.20693564182147384
1499,episode/shortest_path,3.5822317600250244
1499,episode/path_ratio,0.057767240001252246
1499,episode_reset,1
1499,action/stop_pct,0.23
1499,action/forward_pct,0.254
1499,action/left_pct,0.276
1499,action/right_pct,0.24
1503,latent/posterior_entropy,2.368124008178711
1503,latent/prior_entropy,2.6690430641174316
1503,loss/barlow,623.145263671875
1503,loss/con,0.15063178539276123
1503,loss/dyn,8.59752368927002
1503,loss/policy,-0.056261759251356125
1503,loss/rep,8.59752368927002
1503,loss/repval,10.274104118347168
1503,loss/rew,5.159585475921631
1503,loss/value,4.135765075683594
1503,nan_skipped,0.0
1503,opt_loss,53.08648681640625
1503,params/encoder_l2,55.424652099609375
1503,total_loss,53.08648681640625
1503,perf/fps_cumulative,4.391721120869767
1503,perf/fps_interval,14.753088456517206
1503,perf/ms_per_step_interval,67.78241742041803
1751,latent/posterior_entropy,2.3730618953704834
1751,latent/prior_entropy,2.6548962593078613
1751,loss/barlow,542.7598876953125
1751,loss/con,0.10084542632102966
1751,loss/dyn,8.127798080444336
1751,loss/policy,-0.07045736163854599
1751,loss/rep,8.127798080444336
1751,loss/repval,9.920557022094727
1751,loss/rew,4.962655544281006
1751,loss/value,4.938044548034668
1751,nan_skipped,0.0
1751,opt_loss,48.98582458496094
1751,params/encoder_l2,55.425621032714844
1751,total_loss,48.98582458496094
1751,perf/fps_cumulative,4.873324906779303
1751,perf/fps_interval,14.54921025098699
1751,perf/ms_per_step_interval,68.7322530054277
1999,episode/count,4
1999,episode/goal,chair
1999,episode/scene,u5atqC7vRCY
1999,episode/reward,-2.7816705703735116
1999,episode/success,0.0
1999,episode/spl,0.0
1999,episode/softspl,0.4169019643126626
1999,episode/dtg,3.102656364440918
1999,metrics/sr_last,0.0
1999,metrics/reward,-4.210829854011489
1999,metrics/reward_mean,-4.210829854011489
1999,metrics/sr,0.0
1999,metrics/sr_mean,0.0
1999,metrics/spl,0.0
1999,metrics/spl_mean,0.0
1999,metrics/softspl,0.16595861238411305
1999,metrics/softspl_mean,0.16595861238411305
1999,metrics/dtg,3.5017199516296387
1999,metrics/dtg_mean,3.5017199516296387
1999,goal/chair/sr,0.0
